protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,2.37
MultipleAddr_Inclusive_Data,inv_2,Found,19063,5.39
MultipleAddr_Inclusive_Data,inv_3,Found,18473,6.56
MultipleAddr_Inclusive_Data,inv_4,Found,4542,2.82
MultipleAddr_Inclusive_Data,inv_5,Found,26168,6.59
MultipleAddr_Inclusive_Data,inv_6,Found,64112,17.30
MultipleAddr_Inclusive_Data,inv_7,Found,1301355,296.11
MultipleAddr_Inclusive_Data,inv_8,Found,18694,5.21
MultipleAddr_Inclusive_Data,inv_9,Found,18563,5.08
MultipleAddr_Inclusive_Data,inv_10,Found,2288,2.53
MultipleAddr_Inclusive_Data,inv_11,Found,40310,8.40
MultipleAddr_Inclusive_Data,inv_12,Found,61213,14.55
MultipleAddr_Inclusive_Data,inv_13,Found,1151599,244.77
MultipleAddr_Inclusive_Data,inv_14,Found,175,2.41
MultipleAddr_Inclusive_Data,inv_15,Found,4277,2.72
MultipleAddr_Inclusive_Data,inv_16,Found,8967,3.48
MultipleAddr_Inclusive_Data,inv_17,Found,11485,3.70
MultipleAddr_Inclusive_Data,inv_18,Found,108288,25.59
MultipleAddr_Inclusive_Data,inv_19,Found,5510,3.26
MultipleAddr_Inclusive_Data,inv_20,Found,24593,6.61
MultipleAddr_Inclusive_Data,inv_21,Found,23703,5.98
MultipleAddr_Inclusive_Data,inv_22,Found,116282,25.88
MultipleAddr_Inclusive_Data,inv_23,Found,102378,23.29
MultipleAddr_Inclusive_Data,inv_24,Found,373338,72.45
MultipleAddr_Inclusive_Data,inv_25,Found,187962,38.63
MultipleAddr_Inclusive_Data,inv_26,Found,456486,91.25
MultipleAddr_Inclusive_Data,inv_27,Found,231961,45.77
MultipleAddr_Inclusive_Data,inv_28,Found,318907,61.94
MultipleAddr_Inclusive_Data,inv_29,Found,569568,108.88
MultipleAddr_Inclusive_Data,inv_30,Found,759664,146.99
MultipleAddr_Inclusive_Data,inv_31,Found,223488,46.72
MultipleAddr_Inclusive_Data,inv_32,Found,512307,97.68
MultipleAddr_Inclusive_Data,inv_33,Found,539518,106.71
MultipleAddr_Inclusive_Data,inv_34,Found,782550,153.94
MultipleAddr_Inclusive_Data,inv_35,Found,441395,84.50
MultipleAddr_Inclusive_Data,inv_36,Found,898347,166.01
MultipleAddr_Inclusive_Data,inv_37,Found,753417,144.68
MultipleAddr_Inclusive_Data,inv_38,Found,1421664,270.02
