protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,2.39
MultipleAddr_Inclusive_Data,inv_2,Found,142158,7.16
MultipleAddr_Inclusive_Data,inv_3,Found,128884,5.96
MultipleAddr_Inclusive_Data,inv_4,Found,13848,3.05
MultipleAddr_Inclusive_Data,inv_5,Found,309409,9.66
MultipleAddr_Inclusive_Data,inv_6,Found,336523,10.47
MultipleAddr_Inclusive_Data,inv_7,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_8,Found,103144,5.26
MultipleAddr_Inclusive_Data,inv_9,Found,60414,4.01
MultipleAddr_Inclusive_Data,inv_10,Found,5008,2.88
MultipleAddr_Inclusive_Data,inv_11,Found,161635,7.44
MultipleAddr_Inclusive_Data,inv_12,Found,254387,8.32
MultipleAddr_Inclusive_Data,inv_13,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_14,Found,162,2.78
MultipleAddr_Inclusive_Data,inv_15,Found,18978,3.09
MultipleAddr_Inclusive_Data,inv_16,Found,158968,6.26
MultipleAddr_Inclusive_Data,inv_17,Found,158786,7.79
MultipleAddr_Inclusive_Data,inv_18,Found,1605373,51.69
MultipleAddr_Inclusive_Data,inv_19,Found,17274,2.92
MultipleAddr_Inclusive_Data,inv_20,Found,157136,7.23
MultipleAddr_Inclusive_Data,inv_21,Found,150134,7.30
MultipleAddr_Inclusive_Data,inv_22,Found,1541171,56.74
MultipleAddr_Inclusive_Data,inv_23,Found,753325,29.31
MultipleAddr_Inclusive_Data,inv_24,Found,3183468,112.95
MultipleAddr_Inclusive_Data,inv_25,Found,3183327,98.84
MultipleAddr_Inclusive_Data,inv_26,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_27,Found,3290319,111.30
MultipleAddr_Inclusive_Data,inv_28,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_29,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_30,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_31,Found,3178077,113.79
MultipleAddr_Inclusive_Data,inv_32,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_33,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_34,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_35,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_36,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_37,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_38,MemoryOut,0,0
