protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,2.48
MultipleAddr_Inclusive_Data,inv_2,Found,438,2.85
MultipleAddr_Inclusive_Data,inv_3,Found,270,2.82
MultipleAddr_Inclusive_Data,inv_4,Found,107,2.88
MultipleAddr_Inclusive_Data,inv_5,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_6,Found,2625635,177.96
MultipleAddr_Inclusive_Data,inv_7,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_8,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_9,Found,46,2.80
MultipleAddr_Inclusive_Data,inv_10,Found,9,2.90
MultipleAddr_Inclusive_Data,inv_11,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_12,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_13,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_14,Found,4,2.82
MultipleAddr_Inclusive_Data,inv_15,Found,542211,43.26
MultipleAddr_Inclusive_Data,inv_16,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_17,Found,652806,52.66
MultipleAddr_Inclusive_Data,inv_18,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_19,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_20,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_21,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_22,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_23,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_24,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_25,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_26,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_27,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_28,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_29,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_30,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_31,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_32,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_33,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_34,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_37,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_38,Interrupt,0,0
