protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,2.40
MultipleAddr_Inclusive_Data,inv_2,Found,14341,4.08
MultipleAddr_Inclusive_Data,inv_3,Found,16267,6.27
MultipleAddr_Inclusive_Data,inv_4,Found,4151,2.90
MultipleAddr_Inclusive_Data,inv_5,Found,55951,12.97
MultipleAddr_Inclusive_Data,inv_6,Found,43859,8.84
MultipleAddr_Inclusive_Data,inv_7,Found,35898,7.73
MultipleAddr_Inclusive_Data,inv_8,Found,17056,4.84
MultipleAddr_Inclusive_Data,inv_9,Found,16189,4.58
MultipleAddr_Inclusive_Data,inv_10,Found,2282,2.60
MultipleAddr_Inclusive_Data,inv_11,Found,50258,10.72
MultipleAddr_Inclusive_Data,inv_12,Found,55280,12.63
MultipleAddr_Inclusive_Data,inv_13,Found,38499,8.10
MultipleAddr_Inclusive_Data,inv_14,Found,172,2.35
MultipleAddr_Inclusive_Data,inv_15,Found,3984,2.76
MultipleAddr_Inclusive_Data,inv_16,Found,20671,5.29
MultipleAddr_Inclusive_Data,inv_17,Found,12648,3.80
MultipleAddr_Inclusive_Data,inv_18,Found,37641,7.91
MultipleAddr_Inclusive_Data,inv_19,Found,4215,2.70
MultipleAddr_Inclusive_Data,inv_20,Found,20886,5.21
MultipleAddr_Inclusive_Data,inv_21,Found,10673,3.51
MultipleAddr_Inclusive_Data,inv_22,Found,37924,7.85
MultipleAddr_Inclusive_Data,inv_23,Found,83390,17.47
MultipleAddr_Inclusive_Data,inv_24,Found,38734,7.97
MultipleAddr_Inclusive_Data,inv_25,Found,69310,13.38
MultipleAddr_Inclusive_Data,inv_26,Found,16659,4.35
MultipleAddr_Inclusive_Data,inv_27,Found,66110,12.54
MultipleAddr_Inclusive_Data,inv_28,Found,18666,4.80
MultipleAddr_Inclusive_Data,inv_29,Found,17289,4.42
MultipleAddr_Inclusive_Data,inv_30,Found,4525,2.83
MultipleAddr_Inclusive_Data,inv_31,Found,116461,24.76
MultipleAddr_Inclusive_Data,inv_32,Found,48310,10.37
MultipleAddr_Inclusive_Data,inv_33,Found,105718,23.90
MultipleAddr_Inclusive_Data,inv_34,Found,7391,3.22
MultipleAddr_Inclusive_Data,inv_35,Found,29382,6.58
MultipleAddr_Inclusive_Data,inv_36,Found,13326,4.38
MultipleAddr_Inclusive_Data,inv_37,Found,18395,5.55
MultipleAddr_Inclusive_Data,inv_38,Found,2054,2.64
