protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,2.40
MultipleAddr_NonInclusive_Data,inv_2,Found,329249,18.04
MultipleAddr_NonInclusive_Data,inv_3,Found,5071,2.57
MultipleAddr_NonInclusive_Data,inv_4,Found,230659,14.38
MultipleAddr_NonInclusive_Data,inv_5,Found,1996587,84.55
MultipleAddr_NonInclusive_Data,inv_6,Found,10198,2.71
MultipleAddr_NonInclusive_Data,inv_7,Found,308562,16.61
MultipleAddr_NonInclusive_Data,inv_8,Found,6793520,260.94
MultipleAddr_NonInclusive_Data,inv_9,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_10,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_11,Found,5756,2.57
MultipleAddr_NonInclusive_Data,inv_12,Found,425564,20.58
MultipleAddr_NonInclusive_Data,inv_13,Found,10210765,450.03
MultipleAddr_NonInclusive_Data,inv_14,Found,3332348,130.07
MultipleAddr_NonInclusive_Data,inv_15,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_16,Found,1118885,45.29
MultipleAddr_NonInclusive_Data,inv_17,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_18,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_19,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_20,Found,5263,2.54
MultipleAddr_NonInclusive_Data,inv_21,Found,904548,38.64
MultipleAddr_NonInclusive_Data,inv_22,Found,1466034,59.82
MultipleAddr_NonInclusive_Data,inv_23,Found,1196555,53.76
MultipleAddr_NonInclusive_Data,inv_24,Found,1512553,70.51
MultipleAddr_NonInclusive_Data,inv_25,Found,3691176,160.50
MultipleAddr_NonInclusive_Data,inv_26,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_27,Found,3966134,159.17
MultipleAddr_NonInclusive_Data,inv_28,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_29,Found,3001412,116.01
MultipleAddr_NonInclusive_Data,inv_30,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_31,Found,7109932,296.91
MultipleAddr_NonInclusive_Data,inv_32,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_33,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_34,Found,5460550,223.01
MultipleAddr_NonInclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_37,Found,627008,30.82
MultipleAddr_NonInclusive_Data,inv_38,Found,279778,15.59
MultipleAddr_NonInclusive_Data,inv_39,Found,66962,7.90
MultipleAddr_NonInclusive_Data,inv_40,Found,361007,19.90
MultipleAddr_NonInclusive_Data,inv_41,Found,604129,30.22
MultipleAddr_NonInclusive_Data,inv_42,Found,476575,22.91
MultipleAddr_NonInclusive_Data,inv_43,Found,782397,34.80
MultipleAddr_NonInclusive_Data,inv_44,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_45,Found,7024930,284.20
MultipleAddr_NonInclusive_Data,inv_46,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_47,Found,1265040,50.32
MultipleAddr_NonInclusive_Data,inv_48,Found,3889250,157.38
MultipleAddr_NonInclusive_Data,inv_49,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_50,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_51,Found,1417080,58.85
MultipleAddr_NonInclusive_Data,inv_52,Found,9190552,356.01
MultipleAddr_NonInclusive_Data,inv_53,Found,9845977,421.81
