protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,2.56
MultipleAddr_NonInclusive_Data,inv_2,Found,765485,26.10
MultipleAddr_NonInclusive_Data,inv_3,Found,16103,2.96
MultipleAddr_NonInclusive_Data,inv_4,Found,697647,25.16
MultipleAddr_NonInclusive_Data,inv_5,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_6,Found,13971,2.68
MultipleAddr_NonInclusive_Data,inv_7,Found,579127,21.82
MultipleAddr_NonInclusive_Data,inv_8,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_9,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_10,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_11,Found,10495,2.78
MultipleAddr_NonInclusive_Data,inv_12,Found,374881,15.89
MultipleAddr_NonInclusive_Data,inv_13,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_14,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_15,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_16,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_17,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_18,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_19,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_20,Found,5059,2.71
MultipleAddr_NonInclusive_Data,inv_21,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_22,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_23,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_24,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_25,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_26,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_27,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_28,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_29,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_30,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_31,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_32,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_33,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_34,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_35,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_36,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_37,Found,1678069,56.86
MultipleAddr_NonInclusive_Data,inv_38,Found,1721842,57.40
MultipleAddr_NonInclusive_Data,inv_39,Found,126071,7.63
MultipleAddr_NonInclusive_Data,inv_40,Found,1846284,58.23
MultipleAddr_NonInclusive_Data,inv_41,Found,1677804,50.96
MultipleAddr_NonInclusive_Data,inv_42,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_43,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_44,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_45,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_46,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_47,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_48,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_49,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_50,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_51,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_52,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_53,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_54,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_55,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_56,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_57,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_58,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_59,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_60,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_61,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_62,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_63,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_64,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_65,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_66,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_67,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_68,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_69,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_70,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_71,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_72,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_73,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_74,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_75,Found,870291,31.00
MultipleAddr_NonInclusive_Data,inv_76,Found,999970,33.90
MultipleAddr_NonInclusive_Data,inv_77,Found,60099,7.32
MultipleAddr_NonInclusive_Data,inv_78,Found,1381190,47.54
MultipleAddr_NonInclusive_Data,inv_79,Found,869388,31.41
MultipleAddr_NonInclusive_Data,inv_80,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_81,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_82,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_83,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_84,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_85,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_86,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_87,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_88,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_89,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_90,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_91,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_92,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_93,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_94,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_95,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_96,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_97,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_98,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_99,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_100,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_101,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_102,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_103,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_104,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_105,MemoryOut,0,0
