protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,2.35
MultipleAddr_NonInclusive_Data,inv_2,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_3,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_4,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_5,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_6,Found,69230,3.34
MultipleAddr_NonInclusive_Data,inv_7,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_8,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_9,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_10,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_11,Found,708,2.34
MultipleAddr_NonInclusive_Data,inv_12,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_13,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_14,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_15,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_16,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_17,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_18,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_19,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_20,Found,7,2.38
MultipleAddr_NonInclusive_Data,inv_21,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_22,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_23,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_24,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_25,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_26,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_27,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_28,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_29,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_30,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_31,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_32,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_33,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_34,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_37,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_38,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_39,Found,69234,3.33
MultipleAddr_NonInclusive_Data,inv_40,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_41,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_42,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_43,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_44,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_45,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_46,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_47,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_48,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_49,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_50,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_51,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_52,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_53,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_54,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_55,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_56,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_57,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_58,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_59,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_60,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_61,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_62,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_63,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_64,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_65,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_66,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_67,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_68,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_69,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_70,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_71,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_72,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_73,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_74,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_75,Found,22967,3.24
MultipleAddr_NonInclusive_Data,inv_76,Found,388686,7.64
MultipleAddr_NonInclusive_Data,inv_77,Found,10,2.36
MultipleAddr_NonInclusive_Data,inv_78,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_79,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_80,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_81,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_82,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_83,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_84,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_85,Interrupt,0,0
