protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,2.44
MultipleAddr_NonInclusive_Data,inv_2,Found,676660,35.59
MultipleAddr_NonInclusive_Data,inv_3,Found,739111,37.26
MultipleAddr_NonInclusive_Data,inv_4,Found,676844,35.58
MultipleAddr_NonInclusive_Data,inv_5,Found,799503,44.59
MultipleAddr_NonInclusive_Data,inv_6,Found,598687,32.86
MultipleAddr_NonInclusive_Data,inv_7,Found,676694,37.47
MultipleAddr_NonInclusive_Data,inv_8,Found,1718502,95.54
MultipleAddr_NonInclusive_Data,inv_9,Found,709301,34.49
MultipleAddr_NonInclusive_Data,inv_10,Found,910306,45.68
MultipleAddr_NonInclusive_Data,inv_11,Found,694931,36.08
MultipleAddr_NonInclusive_Data,inv_12,Found,672459,38.31
MultipleAddr_NonInclusive_Data,inv_13,Found,852568,45.13
MultipleAddr_NonInclusive_Data,inv_14,Found,907210,47.04
MultipleAddr_NonInclusive_Data,inv_15,Found,341031,16.15
MultipleAddr_NonInclusive_Data,inv_16,Found,597529,30.15
MultipleAddr_NonInclusive_Data,inv_17,Found,795553,44.15
MultipleAddr_NonInclusive_Data,inv_18,Found,419322,21.09
MultipleAddr_NonInclusive_Data,inv_19,Found,506780,25.08
MultipleAddr_NonInclusive_Data,inv_20,Found,680873,38.81
MultipleAddr_NonInclusive_Data,inv_21,Found,24429,3.60
MultipleAddr_NonInclusive_Data,inv_22,Found,310857,18.28
MultipleAddr_NonInclusive_Data,inv_23,Found,183198,14.98
MultipleAddr_NonInclusive_Data,inv_24,Found,83115,7.97
MultipleAddr_NonInclusive_Data,inv_25,Found,1067940,52.07
MultipleAddr_NonInclusive_Data,inv_26,Found,3437760,183.05
MultipleAddr_NonInclusive_Data,inv_27,Found,3021613,154.33
MultipleAddr_NonInclusive_Data,inv_28,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_29,Found,1252879,60.91
MultipleAddr_NonInclusive_Data,inv_30,Found,3083503,153.88
MultipleAddr_NonInclusive_Data,inv_31,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_32,MemoryOut,0,0
