protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,2.45
SingleAddr_Inclusive_Data,inv_2,Found,828,2.57
SingleAddr_Inclusive_Data,inv_3,Found,846,2.60
SingleAddr_Inclusive_Data,inv_4,Found,407,2.45
SingleAddr_Inclusive_Data,inv_5,Found,1209,2.61
SingleAddr_Inclusive_Data,inv_6,Found,1292,2.60
SingleAddr_Inclusive_Data,inv_7,Found,16740,6.84
SingleAddr_Inclusive_Data,inv_8,Found,846,2.57
SingleAddr_Inclusive_Data,inv_9,Found,834,2.64
SingleAddr_Inclusive_Data,inv_10,Found,337,2.46
SingleAddr_Inclusive_Data,inv_11,Found,1355,2.63
SingleAddr_Inclusive_Data,inv_12,Found,1146,2.60
SingleAddr_Inclusive_Data,inv_13,Found,16461,4.61
SingleAddr_Inclusive_Data,inv_14,Found,47,2.43
SingleAddr_Inclusive_Data,inv_15,Found,295,2.49
SingleAddr_Inclusive_Data,inv_16,Found,781,2.53
SingleAddr_Inclusive_Data,inv_17,Found,883,2.54
SingleAddr_Inclusive_Data,inv_18,Found,2487,2.74
SingleAddr_Inclusive_Data,inv_19,Found,377,2.47
SingleAddr_Inclusive_Data,inv_20,Found,883,2.55
SingleAddr_Inclusive_Data,inv_21,Found,668,2.49
SingleAddr_Inclusive_Data,inv_22,Found,1570,2.62
SingleAddr_Inclusive_Data,inv_23,Found,2276,2.75
SingleAddr_Inclusive_Data,inv_24,Found,3971,2.92
SingleAddr_Inclusive_Data,inv_25,Found,3145,2.84
SingleAddr_Inclusive_Data,inv_26,Found,12840,4.03
SingleAddr_Inclusive_Data,inv_27,Found,4311,2.96
SingleAddr_Inclusive_Data,inv_28,Found,7021,3.30
SingleAddr_Inclusive_Data,inv_29,Found,6804,3.25
SingleAddr_Inclusive_Data,inv_30,Found,21206,6.13
SingleAddr_Inclusive_Data,inv_31,Found,4441,3.02
SingleAddr_Inclusive_Data,inv_32,Found,6844,3.26
SingleAddr_Inclusive_Data,inv_33,Found,7249,3.29
SingleAddr_Inclusive_Data,inv_34,Found,25321,8.11
SingleAddr_Inclusive_Data,inv_35,Found,10690,3.94
SingleAddr_Inclusive_Data,inv_36,Found,21882,5.30
SingleAddr_Inclusive_Data,inv_37,Found,25800,5.76
SingleAddr_Inclusive_Data,inv_38,Found,70461,12.37
