protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,2.51
SingleAddr_Inclusive_Data,inv_2,Found,822,2.50
SingleAddr_Inclusive_Data,inv_3,Found,665,2.49
SingleAddr_Inclusive_Data,inv_4,Found,38,2.50
SingleAddr_Inclusive_Data,inv_5,Found,826,2.48
SingleAddr_Inclusive_Data,inv_6,Found,669,2.49
SingleAddr_Inclusive_Data,inv_7,Found,828,2.46
SingleAddr_Inclusive_Data,inv_8,Found,249,2.50
SingleAddr_Inclusive_Data,inv_9,Found,113,2.48
SingleAddr_Inclusive_Data,inv_10,Found,6,2.53
SingleAddr_Inclusive_Data,inv_11,Found,253,2.50
SingleAddr_Inclusive_Data,inv_12,Found,117,2.50
SingleAddr_Inclusive_Data,inv_13,Found,255,2.54
SingleAddr_Inclusive_Data,inv_14,Found,4,2.46
SingleAddr_Inclusive_Data,inv_15,Found,716,2.48
SingleAddr_Inclusive_Data,inv_16,Found,2561,2.52
SingleAddr_Inclusive_Data,inv_17,Found,1875,2.51
SingleAddr_Inclusive_Data,inv_18,Found,101308,3.37
SingleAddr_Inclusive_Data,inv_19,Found,153,2.50
SingleAddr_Inclusive_Data,inv_20,Found,5374,2.54
SingleAddr_Inclusive_Data,inv_21,Found,1950,2.49
SingleAddr_Inclusive_Data,inv_22,Found,40952,2.83
SingleAddr_Inclusive_Data,inv_23,Found,11734,2.59
SingleAddr_Inclusive_Data,inv_24,Found,13937,2.59
SingleAddr_Inclusive_Data,inv_25,Found,13632,2.59
SingleAddr_Inclusive_Data,inv_26,Found,136789,3.73
SingleAddr_Inclusive_Data,inv_27,Found,29610,2.74
SingleAddr_Inclusive_Data,inv_28,Found,173872,3.97
SingleAddr_Inclusive_Data,inv_29,Found,173867,4.00
SingleAddr_Inclusive_Data,inv_30,Found,2630710,31.55
SingleAddr_Inclusive_Data,inv_31,Found,28909,2.72
SingleAddr_Inclusive_Data,inv_32,Found,701610,9.41
SingleAddr_Inclusive_Data,inv_33,Found,246928,7.35
SingleAddr_Inclusive_Data,inv_34,Found,2309162,29.43
SingleAddr_Inclusive_Data,inv_35,Found,56642,3.08
SingleAddr_Inclusive_Data,inv_36,Found,3008425,35.91
SingleAddr_Inclusive_Data,inv_37,Found,4280705,51.05
SingleAddr_Inclusive_Data,inv_38,Found,5945593,72.40
