protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,2.42
SingleAddr_Inclusive_Nodata,inv_2,Found,594,2.49
SingleAddr_Inclusive_Nodata,inv_3,Found,626,2.52
SingleAddr_Inclusive_Nodata,inv_4,Found,231,2.48
SingleAddr_Inclusive_Nodata,inv_5,Found,1075,2.54
SingleAddr_Inclusive_Nodata,inv_6,Found,1053,2.53
SingleAddr_Inclusive_Nodata,inv_7,Found,10798,3.44
SingleAddr_Inclusive_Nodata,inv_8,Found,417,2.51
SingleAddr_Inclusive_Nodata,inv_9,Found,604,2.47
SingleAddr_Inclusive_Nodata,inv_10,Found,169,2.54
SingleAddr_Inclusive_Nodata,inv_11,Found,850,2.54
SingleAddr_Inclusive_Nodata,inv_12,Found,1007,2.57
SingleAddr_Inclusive_Nodata,inv_13,Found,9191,3.37
SingleAddr_Inclusive_Nodata,inv_14,Found,47,2.44
SingleAddr_Inclusive_Nodata,inv_15,Found,256,2.44
SingleAddr_Inclusive_Nodata,inv_16,Found,656,2.49
SingleAddr_Inclusive_Nodata,inv_17,Found,801,2.54
SingleAddr_Inclusive_Nodata,inv_18,Found,1862,2.58
SingleAddr_Inclusive_Nodata,inv_19,Found,242,2.47
SingleAddr_Inclusive_Nodata,inv_20,Found,799,2.55
SingleAddr_Inclusive_Nodata,inv_21,Found,661,2.53
SingleAddr_Inclusive_Nodata,inv_22,Found,2227,2.65
SingleAddr_Inclusive_Nodata,inv_23,Found,1920,2.68
SingleAddr_Inclusive_Nodata,inv_24,Found,2913,2.73
SingleAddr_Inclusive_Nodata,inv_25,Found,2700,2.97
SingleAddr_Inclusive_Nodata,inv_26,Found,10448,3.43
SingleAddr_Inclusive_Nodata,inv_27,Found,3399,2.74
SingleAddr_Inclusive_Nodata,inv_28,Found,6551,3.02
SingleAddr_Inclusive_Nodata,inv_29,Found,8822,3.35
SingleAddr_Inclusive_Nodata,inv_30,Found,19637,4.35
SingleAddr_Inclusive_Nodata,inv_31,Found,3052,2.73
SingleAddr_Inclusive_Nodata,inv_32,Found,7830,3.14
SingleAddr_Inclusive_Nodata,inv_33,Found,5607,2.99
SingleAddr_Inclusive_Nodata,inv_34,Found,23599,4.65
SingleAddr_Inclusive_Nodata,inv_35,Found,9834,3.38
SingleAddr_Inclusive_Nodata,inv_36,Found,21421,6.89
SingleAddr_Inclusive_Nodata,inv_37,Found,22504,4.56
SingleAddr_Inclusive_Nodata,inv_38,Found,58729,8.80
