protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,2.84
SingleAddr_Inclusive_Nodata,inv_2,Found,1197,2.90
SingleAddr_Inclusive_Nodata,inv_3,Found,1133,2.85
SingleAddr_Inclusive_Nodata,inv_4,Found,443,2.80
SingleAddr_Inclusive_Nodata,inv_5,Found,1881,2.82
SingleAddr_Inclusive_Nodata,inv_6,Found,1985,2.82
SingleAddr_Inclusive_Nodata,inv_7,Found,34828,3.07
SingleAddr_Inclusive_Nodata,inv_8,Found,1015,2.93
SingleAddr_Inclusive_Nodata,inv_9,Found,861,2.88
SingleAddr_Inclusive_Nodata,inv_10,Found,290,2.74
SingleAddr_Inclusive_Nodata,inv_11,Found,1423,2.88
SingleAddr_Inclusive_Nodata,inv_12,Found,1678,3.00
SingleAddr_Inclusive_Nodata,inv_13,Found,27831,3.10
SingleAddr_Inclusive_Nodata,inv_14,Found,42,2.74
SingleAddr_Inclusive_Nodata,inv_15,Found,531,2.90
SingleAddr_Inclusive_Nodata,inv_16,Found,1317,2.95
SingleAddr_Inclusive_Nodata,inv_17,Found,1311,2.59
SingleAddr_Inclusive_Nodata,inv_18,Found,6562,2.63
SingleAddr_Inclusive_Nodata,inv_19,Found,502,2.83
SingleAddr_Inclusive_Nodata,inv_20,Found,1287,2.83
SingleAddr_Inclusive_Nodata,inv_21,Found,1248,2.69
SingleAddr_Inclusive_Nodata,inv_22,Found,6231,3.32
SingleAddr_Inclusive_Nodata,inv_23,Found,3617,3.03
SingleAddr_Inclusive_Nodata,inv_24,Found,10483,2.93
SingleAddr_Inclusive_Nodata,inv_25,Found,10477,2.62
SingleAddr_Inclusive_Nodata,inv_26,Found,38692,3.05
SingleAddr_Inclusive_Nodata,inv_27,Found,10748,2.87
SingleAddr_Inclusive_Nodata,inv_28,Found,26162,2.99
SingleAddr_Inclusive_Nodata,inv_29,Found,26156,4.05
SingleAddr_Inclusive_Nodata,inv_30,Found,84744,3.40
SingleAddr_Inclusive_Nodata,inv_31,Found,10409,3.08
SingleAddr_Inclusive_Nodata,inv_32,Found,25452,3.26
SingleAddr_Inclusive_Nodata,inv_33,Found,25446,3.01
SingleAddr_Inclusive_Nodata,inv_34,Found,82839,3.62
SingleAddr_Inclusive_Nodata,inv_35,Found,38402,3.33
SingleAddr_Inclusive_Nodata,inv_36,Found,82766,4.34
SingleAddr_Inclusive_Nodata,inv_37,Found,82760,4.98
SingleAddr_Inclusive_Nodata,inv_38,Found,230360,7.78
