protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Data,inv_1,Found,1,2.39
SingleAddr_NonInclusive_Data,inv_2,Found,2046,2.77
SingleAddr_NonInclusive_Data,inv_3,Found,2229,2.84
SingleAddr_NonInclusive_Data,inv_4,Found,2536,2.83
SingleAddr_NonInclusive_Data,inv_5,Found,6728,3.45
SingleAddr_NonInclusive_Data,inv_6,Found,2157,2.78
SingleAddr_NonInclusive_Data,inv_7,Found,2067,2.75
SingleAddr_NonInclusive_Data,inv_8,Found,86104,19.24
SingleAddr_NonInclusive_Data,inv_9,Found,96309,21.96
SingleAddr_NonInclusive_Data,inv_10,Found,229238,56.13
SingleAddr_NonInclusive_Data,inv_11,Found,2114,2.77
SingleAddr_NonInclusive_Data,inv_12,Found,2265,2.79
SingleAddr_NonInclusive_Data,inv_13,Found,90385,19.86
SingleAddr_NonInclusive_Data,inv_14,Found,72363,17.37
SingleAddr_NonInclusive_Data,inv_15,Found,262689,61.09
SingleAddr_NonInclusive_Data,inv_16,Found,5820,3.35
SingleAddr_NonInclusive_Data,inv_17,Found,240197,57.69
SingleAddr_NonInclusive_Data,inv_18,Found,247284,59.11
SingleAddr_NonInclusive_Data,inv_19,Found,394530,80.70
SingleAddr_NonInclusive_Data,inv_20,Found,2664,2.90
SingleAddr_NonInclusive_Data,inv_21,Found,502,2.55
SingleAddr_NonInclusive_Data,inv_22,Found,899,2.56
SingleAddr_NonInclusive_Data,inv_23,Found,930,2.61
SingleAddr_NonInclusive_Data,inv_24,Found,2461,2.89
SingleAddr_NonInclusive_Data,inv_25,Found,19474,7.38
SingleAddr_NonInclusive_Data,inv_26,Found,37937,9.10
SingleAddr_NonInclusive_Data,inv_27,Found,38214,9.12
SingleAddr_NonInclusive_Data,inv_28,Found,140163,31.95
SingleAddr_NonInclusive_Data,inv_29,Found,18470,5.59
SingleAddr_NonInclusive_Data,inv_30,Found,34374,8.52
SingleAddr_NonInclusive_Data,inv_31,Found,36742,8.77
SingleAddr_NonInclusive_Data,inv_32,Found,122513,28.65
SingleAddr_NonInclusive_Data,inv_33,Found,56756,13.89
SingleAddr_NonInclusive_Data,inv_34,Found,125051,28.80
SingleAddr_NonInclusive_Data,inv_35,Found,114979,27.29
SingleAddr_NonInclusive_Data,inv_36,Found,308484,62.17
SingleAddr_NonInclusive_Data,inv_37,Found,1037,2.58
SingleAddr_NonInclusive_Data,inv_38,Found,1092,2.62
SingleAddr_NonInclusive_Data,inv_39,Found,693,2.58
SingleAddr_NonInclusive_Data,inv_40,Found,1636,2.68
SingleAddr_NonInclusive_Data,inv_41,Found,1932,2.75
SingleAddr_NonInclusive_Data,inv_42,Found,46398,11.27
SingleAddr_NonInclusive_Data,inv_43,Found,574,2.49
SingleAddr_NonInclusive_Data,inv_44,Found,13748,4.82
SingleAddr_NonInclusive_Data,inv_45,Found,20904,5.82
SingleAddr_NonInclusive_Data,inv_46,Found,50326,12.55
SingleAddr_NonInclusive_Data,inv_47,Found,1030,2.55
SingleAddr_NonInclusive_Data,inv_48,Found,33568,8.40
SingleAddr_NonInclusive_Data,inv_49,Found,39103,9.04
