protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Data,inv_1,Found,1,2.50
SingleAddr_NonInclusive_Data,inv_2,Found,516,2.55
SingleAddr_NonInclusive_Data,inv_3,Found,366,2.48
SingleAddr_NonInclusive_Data,inv_4,Found,604,2.46
SingleAddr_NonInclusive_Data,inv_5,Found,1046,2.46
SingleAddr_NonInclusive_Data,inv_6,Found,150,2.47
SingleAddr_NonInclusive_Data,inv_7,Found,109,2.49
SingleAddr_NonInclusive_Data,inv_8,Found,27352,2.64
SingleAddr_NonInclusive_Data,inv_9,Found,5878,2.66
SingleAddr_NonInclusive_Data,inv_10,Found,89412,3.09
SingleAddr_NonInclusive_Data,inv_11,Found,40,2.46
SingleAddr_NonInclusive_Data,inv_12,Found,33,2.45
SingleAddr_NonInclusive_Data,inv_13,Found,22780,2.68
SingleAddr_NonInclusive_Data,inv_14,Found,29714,2.69
SingleAddr_NonInclusive_Data,inv_15,Found,107411,3.26
SingleAddr_NonInclusive_Data,inv_16,Found,1907,2.47
SingleAddr_NonInclusive_Data,inv_17,Found,381254,6.73
SingleAddr_NonInclusive_Data,inv_18,Found,156220,3.60
SingleAddr_NonInclusive_Data,inv_19,Found,154227,5.25
SingleAddr_NonInclusive_Data,inv_20,Found,11,2.59
SingleAddr_NonInclusive_Data,inv_21,Found,524,2.48
SingleAddr_NonInclusive_Data,inv_22,Found,1065,2.57
SingleAddr_NonInclusive_Data,inv_23,Found,606,2.48
SingleAddr_NonInclusive_Data,inv_24,Found,1053,2.47
SingleAddr_NonInclusive_Data,inv_25,Found,8930,2.58
SingleAddr_NonInclusive_Data,inv_26,Found,95871,3.15
SingleAddr_NonInclusive_Data,inv_27,Found,89409,3.08
SingleAddr_NonInclusive_Data,inv_28,Found,116898,3.28
SingleAddr_NonInclusive_Data,inv_29,Found,4682,2.53
SingleAddr_NonInclusive_Data,inv_30,Found,76541,2.98
SingleAddr_NonInclusive_Data,inv_31,Found,101218,3.17
SingleAddr_NonInclusive_Data,inv_32,Found,107416,3.22
SingleAddr_NonInclusive_Data,inv_33,Found,426253,5.75
SingleAddr_NonInclusive_Data,inv_34,Found,848737,9.35
SingleAddr_NonInclusive_Data,inv_35,Found,156236,3.67
SingleAddr_NonInclusive_Data,inv_36,Found,154231,3.59
SingleAddr_NonInclusive_Data,inv_37,Found,1376,2.48
SingleAddr_NonInclusive_Data,inv_38,Found,293,2.52
SingleAddr_NonInclusive_Data,inv_39,Found,144,2.47
SingleAddr_NonInclusive_Data,inv_40,Found,517,2.53
SingleAddr_NonInclusive_Data,inv_41,Found,605,2.52
SingleAddr_NonInclusive_Data,inv_42,Found,12758,2.57
SingleAddr_NonInclusive_Data,inv_43,Found,666,2.52
SingleAddr_NonInclusive_Data,inv_44,Found,845,2.53
SingleAddr_NonInclusive_Data,inv_45,Found,1311,2.51
SingleAddr_NonInclusive_Data,inv_46,Found,60910,2.87
SingleAddr_NonInclusive_Data,inv_47,Found,1910,2.47
SingleAddr_NonInclusive_Data,inv_48,Found,74905,2.96
SingleAddr_NonInclusive_Data,inv_49,Found,160596,3.60
SingleAddr_NonInclusive_Data,inv_50,Found,154242,3.56
