protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Nodata,inv_1,Found,1,2.46
SingleAddr_NonInclusive_Nodata,inv_2,Found,1956,2.63
SingleAddr_NonInclusive_Nodata,inv_3,Found,2249,2.63
SingleAddr_NonInclusive_Nodata,inv_4,Found,2240,2.65
SingleAddr_NonInclusive_Nodata,inv_5,Found,6910,3.03
SingleAddr_NonInclusive_Nodata,inv_6,Found,2088,2.65
SingleAddr_NonInclusive_Nodata,inv_7,Found,1925,2.66
SingleAddr_NonInclusive_Nodata,inv_8,Found,60887,9.25
SingleAddr_NonInclusive_Nodata,inv_9,Found,62177,9.36
SingleAddr_NonInclusive_Nodata,inv_10,Found,148767,21.14
SingleAddr_NonInclusive_Nodata,inv_11,Found,2061,2.62
SingleAddr_NonInclusive_Nodata,inv_12,Found,2038,2.64
SingleAddr_NonInclusive_Nodata,inv_13,Found,58752,9.02
SingleAddr_NonInclusive_Nodata,inv_14,Found,63888,9.70
SingleAddr_NonInclusive_Nodata,inv_15,Found,149291,21.15
SingleAddr_NonInclusive_Nodata,inv_16,Found,6762,3.07
SingleAddr_NonInclusive_Nodata,inv_17,Found,144673,20.97
SingleAddr_NonInclusive_Nodata,inv_18,Found,150070,21.22
SingleAddr_NonInclusive_Nodata,inv_19,Found,313487,41.32
SingleAddr_NonInclusive_Nodata,inv_20,Found,2156,2.74
SingleAddr_NonInclusive_Nodata,inv_21,Found,502,2.50
SingleAddr_NonInclusive_Nodata,inv_22,Found,890,2.57
SingleAddr_NonInclusive_Nodata,inv_23,Found,937,2.51
SingleAddr_NonInclusive_Nodata,inv_24,Found,2612,2.65
SingleAddr_NonInclusive_Nodata,inv_25,Found,13657,3.73
SingleAddr_NonInclusive_Nodata,inv_26,Found,37060,6.35
SingleAddr_NonInclusive_Nodata,inv_27,Found,32810,5.77
SingleAddr_NonInclusive_Nodata,inv_28,Found,81763,12.00
SingleAddr_NonInclusive_Nodata,inv_29,Found,14916,3.91
SingleAddr_NonInclusive_Nodata,inv_30,Found,25650,5.07
SingleAddr_NonInclusive_Nodata,inv_31,Found,24980,4.99
SingleAddr_NonInclusive_Nodata,inv_32,Found,81578,12.01
SingleAddr_NonInclusive_Nodata,inv_33,Found,40245,6.95
SingleAddr_NonInclusive_Nodata,inv_34,Found,96361,13.03
SingleAddr_NonInclusive_Nodata,inv_35,Found,94268,12.82
SingleAddr_NonInclusive_Nodata,inv_36,Found,235786,32.06
SingleAddr_NonInclusive_Nodata,inv_37,Found,946,2.52
SingleAddr_NonInclusive_Nodata,inv_38,Found,1068,2.53
SingleAddr_NonInclusive_Nodata,inv_39,Found,691,2.57
SingleAddr_NonInclusive_Nodata,inv_40,Found,1630,2.58
SingleAddr_NonInclusive_Nodata,inv_41,Found,1841,2.62
SingleAddr_NonInclusive_Nodata,inv_42,Found,31594,5.81
SingleAddr_NonInclusive_Nodata,inv_43,Found,571,2.54
SingleAddr_NonInclusive_Nodata,inv_44,Found,17494,4.11
SingleAddr_NonInclusive_Nodata,inv_45,Found,12620,3.71
SingleAddr_NonInclusive_Nodata,inv_46,Found,45823,7.31
SingleAddr_NonInclusive_Nodata,inv_47,Found,1033,2.60
SingleAddr_NonInclusive_Nodata,inv_48,Found,25741,5.14
SingleAddr_NonInclusive_Nodata,inv_49,Found,34605,6.09
SingleAddr_NonInclusive_Nodata,inv_50,Found,92315,12.69
SingleAddr_NonInclusive_Nodata,inv_51,Found,957,2.53
SingleAddr_NonInclusive_Nodata,inv_52,Found,26275,5.16
SingleAddr_NonInclusive_Nodata,inv_53,Found,30657,5.54
SingleAddr_NonInclusive_Nodata,inv_54,Found,101779,13.63
SingleAddr_NonInclusive_Nodata,inv_55,Found,3232,2.78
SingleAddr_NonInclusive_Nodata,inv_56,Found,104302,15.45
SingleAddr_NonInclusive_Nodata,inv_57,Found,84374,12.23
SingleAddr_NonInclusive_Nodata,inv_58,Found,234712,33.34
SingleAddr_NonInclusive_Nodata,inv_59,Found,2700,2.82
SingleAddr_NonInclusive_Nodata,inv_60,Found,6712,3.09
SingleAddr_NonInclusive_Nodata,inv_61,Found,6221,3.00
SingleAddr_NonInclusive_Nodata,inv_62,Found,24113,4.70
SingleAddr_NonInclusive_Nodata,inv_63,Found,6047,3.02
SingleAddr_NonInclusive_Nodata,inv_64,Found,12489,3.57
SingleAddr_NonInclusive_Nodata,inv_65,Found,11043,3.47
SingleAddr_NonInclusive_Nodata,inv_66,Found,47502,7.21
SingleAddr_NonInclusive_Nodata,inv_67,Found,5629,3.05
SingleAddr_NonInclusive_Nodata,inv_68,Found,12015,3.60
SingleAddr_NonInclusive_Nodata,inv_69,Found,19233,4.32
SingleAddr_NonInclusive_Nodata,inv_70,Found,42853,6.91
SingleAddr_NonInclusive_Nodata,inv_71,Found,23885,4.72
SingleAddr_NonInclusive_Nodata,inv_72,Found,48791,7.41
SingleAddr_NonInclusive_Nodata,inv_73,Found,40725,6.74
SingleAddr_NonInclusive_Nodata,inv_74,Found,130583,17.85
SingleAddr_NonInclusive_Nodata,inv_75,Found,1088,2.61
SingleAddr_NonInclusive_Nodata,inv_76,Found,1029,2.56
SingleAddr_NonInclusive_Nodata,inv_77,Found,571,2.50
SingleAddr_NonInclusive_Nodata,inv_78,Found,1934,2.65
SingleAddr_NonInclusive_Nodata,inv_79,Found,1497,2.56
SingleAddr_NonInclusive_Nodata,inv_80,Found,31764,5.80
SingleAddr_NonInclusive_Nodata,inv_81,Found,13262,3.76
SingleAddr_NonInclusive_Nodata,inv_82,Found,35414,6.60
SingleAddr_NonInclusive_Nodata,inv_83,Found,48970,7.67
SingleAddr_NonInclusive_Nodata,inv_84,Found,126345,18.52
SingleAddr_NonInclusive_Nodata,inv_85,Found,49245,7.62
SingleAddr_NonInclusive_Nodata,inv_86,Found,231075,34.32
SingleAddr_NonInclusive_Nodata,inv_87,Found,232143,34.97
SingleAddr_NonInclusive_Nodata,inv_88,Found,535345,58.20
SingleAddr_NonInclusive_Nodata,inv_89,Found,41233,6.93
SingleAddr_NonInclusive_Nodata,inv_90,Found,267353,38.06
SingleAddr_NonInclusive_Nodata,inv_91,Found,265802,38.08
SingleAddr_NonInclusive_Nodata,inv_92,Found,444312,52.19
SingleAddr_NonInclusive_Nodata,inv_93,Found,111055,18.71
SingleAddr_NonInclusive_Nodata,inv_94,Found,484794,54.26
SingleAddr_NonInclusive_Nodata,inv_95,Found,439093,51.62
