protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Nodata,inv_1,Found,1,2.55
SingleAddr_NonInclusive_Nodata,inv_2,Found,4652,2.96
SingleAddr_NonInclusive_Nodata,inv_3,Found,4093,2.75
SingleAddr_NonInclusive_Nodata,inv_4,Found,4614,3.03
SingleAddr_NonInclusive_Nodata,inv_5,Found,27896,3.09
SingleAddr_NonInclusive_Nodata,inv_6,Found,3809,2.98
SingleAddr_NonInclusive_Nodata,inv_7,Found,4505,2.98
SingleAddr_NonInclusive_Nodata,inv_8,Found,168558,5.12
SingleAddr_NonInclusive_Nodata,inv_9,Found,168520,7.83
SingleAddr_NonInclusive_Nodata,inv_10,Found,532442,13.03
SingleAddr_NonInclusive_Nodata,inv_11,Found,3293,3.00
SingleAddr_NonInclusive_Nodata,inv_12,Found,4311,2.84
SingleAddr_NonInclusive_Nodata,inv_13,Found,161449,4.94
SingleAddr_NonInclusive_Nodata,inv_14,Found,161411,4.94
SingleAddr_NonInclusive_Nodata,inv_15,Found,506605,9.95
SingleAddr_NonInclusive_Nodata,inv_16,Found,25898,3.05
SingleAddr_NonInclusive_Nodata,inv_17,Found,515167,8.92
SingleAddr_NonInclusive_Nodata,inv_18,Found,515129,9.33
SingleAddr_NonInclusive_Nodata,inv_19,Found,1586895,27.61
SingleAddr_NonInclusive_Nodata,inv_20,Found,2614,2.90
SingleAddr_NonInclusive_Nodata,inv_21,Found,890,2.88
SingleAddr_NonInclusive_Nodata,inv_22,Found,2581,3.16
SingleAddr_NonInclusive_Nodata,inv_23,Found,2563,3.10
SingleAddr_NonInclusive_Nodata,inv_24,Found,15775,3.42
SingleAddr_NonInclusive_Nodata,inv_25,Found,45934,5.41
SingleAddr_NonInclusive_Nodata,inv_26,Found,112732,5.99
SingleAddr_NonInclusive_Nodata,inv_27,Found,112714,5.72
SingleAddr_NonInclusive_Nodata,inv_28,Found,363853,9.22
SingleAddr_NonInclusive_Nodata,inv_29,Found,44068,3.55
SingleAddr_NonInclusive_Nodata,inv_30,Found,108101,4.91
SingleAddr_NonInclusive_Nodata,inv_31,Found,108083,6.23
SingleAddr_NonInclusive_Nodata,inv_32,Found,347002,7.98
SingleAddr_NonInclusive_Nodata,inv_33,Found,163171,5.52
SingleAddr_NonInclusive_Nodata,inv_34,Found,352111,9.49
SingleAddr_NonInclusive_Nodata,inv_35,Found,352093,8.03
SingleAddr_NonInclusive_Nodata,inv_36,Found,1096494,20.36
SingleAddr_NonInclusive_Nodata,inv_37,Found,2290,2.95
SingleAddr_NonInclusive_Nodata,inv_38,Found,2137,3.22
SingleAddr_NonInclusive_Nodata,inv_39,Found,758,2.86
SingleAddr_NonInclusive_Nodata,inv_40,Found,3840,2.80
SingleAddr_NonInclusive_Nodata,inv_41,Found,4113,3.09
SingleAddr_NonInclusive_Nodata,inv_42,Found,96291,3.99
SingleAddr_NonInclusive_Nodata,inv_43,Found,843,2.75
SingleAddr_NonInclusive_Nodata,inv_44,Found,44751,4.72
SingleAddr_NonInclusive_Nodata,inv_45,Found,44713,4.79
SingleAddr_NonInclusive_Nodata,inv_46,Found,164827,4.60
SingleAddr_NonInclusive_Nodata,inv_47,Found,2505,2.72
SingleAddr_NonInclusive_Nodata,inv_48,Found,113088,6.97
SingleAddr_NonInclusive_Nodata,inv_49,Found,113050,6.32
SingleAddr_NonInclusive_Nodata,inv_50,Found,365801,10.69
SingleAddr_NonInclusive_Nodata,inv_51,Found,2407,2.91
SingleAddr_NonInclusive_Nodata,inv_52,Found,109261,4.18
SingleAddr_NonInclusive_Nodata,inv_53,Found,109223,6.25
SingleAddr_NonInclusive_Nodata,inv_54,Found,352763,7.61
SingleAddr_NonInclusive_Nodata,inv_55,Found,14642,2.86
SingleAddr_NonInclusive_Nodata,inv_56,Found,352430,8.72
SingleAddr_NonInclusive_Nodata,inv_57,Found,352392,7.61
SingleAddr_NonInclusive_Nodata,inv_58,Found,1098282,17.95
SingleAddr_NonInclusive_Nodata,inv_59,Found,8166,3.28
SingleAddr_NonInclusive_Nodata,inv_60,Found,26642,2.78
SingleAddr_NonInclusive_Nodata,inv_61,Found,26624,2.83
SingleAddr_NonInclusive_Nodata,inv_62,Found,110063,3.80
SingleAddr_NonInclusive_Nodata,inv_63,Found,27458,2.76
SingleAddr_NonInclusive_Nodata,inv_64,Found,73581,3.73
SingleAddr_NonInclusive_Nodata,inv_65,Found,73563,3.36
SingleAddr_NonInclusive_Nodata,inv_66,Found,249471,5.60
SingleAddr_NonInclusive_Nodata,inv_67,Found,26458,2.78
SingleAddr_NonInclusive_Nodata,inv_68,Found,71066,3.28
SingleAddr_NonInclusive_Nodata,inv_69,Found,71048,3.32
SingleAddr_NonInclusive_Nodata,inv_70,Found,240776,5.45
SingleAddr_NonInclusive_Nodata,inv_71,Found,109169,3.82
SingleAddr_NonInclusive_Nodata,inv_72,Found,240573,5.49
SingleAddr_NonInclusive_Nodata,inv_73,Found,240555,5.48
SingleAddr_NonInclusive_Nodata,inv_74,Found,754011,11.98
SingleAddr_NonInclusive_Nodata,inv_75,Found,1860,2.65
SingleAddr_NonInclusive_Nodata,inv_76,Found,1498,2.53
SingleAddr_NonInclusive_Nodata,inv_77,Found,542,2.54
SingleAddr_NonInclusive_Nodata,inv_78,Found,2671,2.57
SingleAddr_NonInclusive_Nodata,inv_79,Found,3330,2.60
SingleAddr_NonInclusive_Nodata,inv_80,Found,76053,3.40
SingleAddr_NonInclusive_Nodata,inv_81,Found,17983,2.69
SingleAddr_NonInclusive_Nodata,inv_82,Found,111178,3.84
SingleAddr_NonInclusive_Nodata,inv_83,Found,110842,3.81
SingleAddr_NonInclusive_Nodata,inv_84,Found,358582,6.93
SingleAddr_NonInclusive_Nodata,inv_85,Found,112066,3.84
SingleAddr_NonInclusive_Nodata,inv_86,Found,770528,12.12
SingleAddr_NonInclusive_Nodata,inv_87,Found,770490,12.23
SingleAddr_NonInclusive_Nodata,inv_88,Found,2329290,33.12
SingleAddr_NonInclusive_Nodata,inv_89,Found,105711,3.87
SingleAddr_NonInclusive_Nodata,inv_90,Found,713022,11.78
SingleAddr_NonInclusive_Nodata,inv_91,Found,712984,14.53
SingleAddr_NonInclusive_Nodata,inv_92,Found,2134442,33.44
SingleAddr_NonInclusive_Nodata,inv_93,Found,337083,7.33
SingleAddr_NonInclusive_Nodata,inv_94,Found,2134110,33.19
SingleAddr_NonInclusive_Nodata,inv_95,Found,2134072,34.79
SingleAddr_NonInclusive_Nodata,inv_96,Found,6040965,87.39
SingleAddr_NonInclusive_Nodata,inv_97,Found,26796,3.97
SingleAddr_NonInclusive_Nodata,inv_98,Found,72280,3.35
SingleAddr_NonInclusive_Nodata,inv_99,Found,72055,3.34
SingleAddr_NonInclusive_Nodata,inv_100,Found,244648,7.13
SingleAddr_NonInclusive_Nodata,inv_101,Found,246530,5.55
SingleAddr_NonInclusive_Nodata,inv_102,Found,527543,9.41
SingleAddr_NonInclusive_Nodata,inv_103,Found,527525,12.36
SingleAddr_NonInclusive_Nodata,inv_104,Found,1621714,30.59
SingleAddr_NonInclusive_Nodata,inv_105,Found,231326,5.49
SingleAddr_NonInclusive_Nodata,inv_106,Found,490498,9.04
SingleAddr_NonInclusive_Nodata,inv_107,Found,490480,9.56
SingleAddr_NonInclusive_Nodata,inv_108,Found,1489177,22.46
SingleAddr_NonInclusive_Nodata,inv_109,Found,712930,11.52
SingleAddr_NonInclusive_Nodata,inv_110,Found,1488974,23.80
SingleAddr_NonInclusive_Nodata,inv_111,Found,1488956,23.51
SingleAddr_NonInclusive_Nodata,inv_112,Found,4303060,66.36
SingleAddr_NonInclusive_Nodata,inv_113,Found,25793,4.01
SingleAddr_NonInclusive_Nodata,inv_114,Found,231606,6.52
SingleAddr_NonInclusive_Nodata,inv_115,Found,231595,7.73
SingleAddr_NonInclusive_Nodata,inv_116,Found,713985,14.26
SingleAddr_NonInclusive_Nodata,inv_117,Found,72956,3.45
SingleAddr_NonInclusive_Nodata,inv_118,Found,527546,10.33
SingleAddr_NonInclusive_Nodata,inv_119,Found,527532,10.91
SingleAddr_NonInclusive_Nodata,inv_120,Found,1621784,24.85
SingleAddr_NonInclusive_Nodata,inv_121,Found,68911,4.47
SingleAddr_NonInclusive_Nodata,inv_122,Found,490501,11.38
SingleAddr_NonInclusive_Nodata,inv_123,Found,490487,11.55
SingleAddr_NonInclusive_Nodata,inv_124,Found,1489247,23.30
SingleAddr_NonInclusive_Nodata,inv_125,Found,231310,6.11
SingleAddr_NonInclusive_Nodata,inv_126,Found,1488977,22.44
SingleAddr_NonInclusive_Nodata,inv_127,Found,1488963,25.13
SingleAddr_NonInclusive_Nodata,inv_128,Found,4303130,60.90
SingleAddr_NonInclusive_Nodata,inv_129,Found,69037,3.33
SingleAddr_NonInclusive_Nodata,inv_130,Found,157867,4.61
SingleAddr_NonInclusive_Nodata,inv_131,Found,157862,4.56
SingleAddr_NonInclusive_Nodata,inv_132,Found,491091,8.97
