protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Nodata,inv_1,Found,1,2.52
SingleAddr_NonInclusive_Nodata,inv_2,Found,703,2.51
SingleAddr_NonInclusive_Nodata,inv_3,Found,137,2.50
SingleAddr_NonInclusive_Nodata,inv_4,Found,374,2.53
SingleAddr_NonInclusive_Nodata,inv_5,Found,586,2.51
SingleAddr_NonInclusive_Nodata,inv_6,Found,65,2.51
SingleAddr_NonInclusive_Nodata,inv_7,Found,985,2.56
SingleAddr_NonInclusive_Nodata,inv_8,Found,2352,2.52
SingleAddr_NonInclusive_Nodata,inv_9,Found,907,2.55
SingleAddr_NonInclusive_Nodata,inv_10,Found,2356,2.52
SingleAddr_NonInclusive_Nodata,inv_11,Found,29,2.52
SingleAddr_NonInclusive_Nodata,inv_12,Found,287,2.52
SingleAddr_NonInclusive_Nodata,inv_13,Found,699,2.52
SingleAddr_NonInclusive_Nodata,inv_14,Found,398,2.50
SingleAddr_NonInclusive_Nodata,inv_15,Found,582,2.51
SingleAddr_NonInclusive_Nodata,inv_16,Found,983,2.52
SingleAddr_NonInclusive_Nodata,inv_17,Found,4467,2.52
SingleAddr_NonInclusive_Nodata,inv_18,Found,2948,2.52
SingleAddr_NonInclusive_Nodata,inv_19,Found,20669,2.68
SingleAddr_NonInclusive_Nodata,inv_20,Found,11,2.56
SingleAddr_NonInclusive_Nodata,inv_21,Found,723,2.58
SingleAddr_NonInclusive_Nodata,inv_22,Found,1071,2.51
SingleAddr_NonInclusive_Nodata,inv_23,Found,376,2.50
SingleAddr_NonInclusive_Nodata,inv_24,Found,23170,2.64
SingleAddr_NonInclusive_Nodata,inv_25,Found,2484,2.55
SingleAddr_NonInclusive_Nodata,inv_26,Found,2477,2.51
SingleAddr_NonInclusive_Nodata,inv_27,Found,23994,2.66
SingleAddr_NonInclusive_Nodata,inv_28,Found,23166,2.70
SingleAddr_NonInclusive_Nodata,inv_29,Found,690,2.55
SingleAddr_NonInclusive_Nodata,inv_30,Found,1528,2.54
SingleAddr_NonInclusive_Nodata,inv_31,Found,7786,2.57
SingleAddr_NonInclusive_Nodata,inv_32,Found,100278,3.18
SingleAddr_NonInclusive_Nodata,inv_33,Found,17519,2.67
SingleAddr_NonInclusive_Nodata,inv_34,Found,17527,2.61
SingleAddr_NonInclusive_Nodata,inv_35,Found,23162,2.62
SingleAddr_NonInclusive_Nodata,inv_36,Found,23164,2.65
SingleAddr_NonInclusive_Nodata,inv_37,Found,1771,2.52
SingleAddr_NonInclusive_Nodata,inv_38,Found,763,2.58
SingleAddr_NonInclusive_Nodata,inv_39,Found,59,2.52
SingleAddr_NonInclusive_Nodata,inv_40,Found,1476,2.49
SingleAddr_NonInclusive_Nodata,inv_41,Found,375,2.51
SingleAddr_NonInclusive_Nodata,inv_42,Found,14877,2.63
SingleAddr_NonInclusive_Nodata,inv_43,Found,413,2.57
SingleAddr_NonInclusive_Nodata,inv_44,Found,597,2.56
SingleAddr_NonInclusive_Nodata,inv_45,Found,389,2.50
SingleAddr_NonInclusive_Nodata,inv_46,Found,589,2.52
