protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Nodata,inv_1,Found,1,3.36
SingleAddr_NonInclusive_Nodata,inv_2,Found,1956,3.66
SingleAddr_NonInclusive_Nodata,inv_3,Found,2249,3.82
SingleAddr_NonInclusive_Nodata,inv_4,Found,2240,3.75
SingleAddr_NonInclusive_Nodata,inv_5,Found,6910,4.51
SingleAddr_NonInclusive_Nodata,inv_6,Found,2088,3.72
SingleAddr_NonInclusive_Nodata,inv_7,Found,1925,4.11
SingleAddr_NonInclusive_Nodata,inv_8,Found,60887,17.83
SingleAddr_NonInclusive_Nodata,inv_9,Found,62177,17.19
SingleAddr_NonInclusive_Nodata,inv_10,Found,148767,41.75
SingleAddr_NonInclusive_Nodata,inv_11,Found,2061,3.79
SingleAddr_NonInclusive_Nodata,inv_12,Found,2038,4.05
SingleAddr_NonInclusive_Nodata,inv_13,Found,58752,16.85
SingleAddr_NonInclusive_Nodata,inv_14,Found,63888,17.47
SingleAddr_NonInclusive_Nodata,inv_15,Found,149291,43.36
SingleAddr_NonInclusive_Nodata,inv_16,Found,6762,4.79
SingleAddr_NonInclusive_Nodata,inv_17,Found,144673,39.74
SingleAddr_NonInclusive_Nodata,inv_18,Found,150070,40.69
SingleAddr_NonInclusive_Nodata,inv_19,Found,382326,102.29
SingleAddr_NonInclusive_Nodata,inv_20,Found,2156,3.75
SingleAddr_NonInclusive_Nodata,inv_21,Found,502,3.33
SingleAddr_NonInclusive_Nodata,inv_22,Found,890,3.43
SingleAddr_NonInclusive_Nodata,inv_23,Found,937,3.51
SingleAddr_NonInclusive_Nodata,inv_24,Found,2612,4.10
SingleAddr_NonInclusive_Nodata,inv_25,Found,13657,7.07
SingleAddr_NonInclusive_Nodata,inv_26,Found,37060,11.17
SingleAddr_NonInclusive_Nodata,inv_27,Found,32810,10.03
SingleAddr_NonInclusive_Nodata,inv_28,Found,81763,20.46
SingleAddr_NonInclusive_Nodata,inv_29,Found,14916,7.35
