protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,3.25
MultipleAddr_Inclusive_Data,inv_2,Found,487,3.43
MultipleAddr_Inclusive_Data,inv_3,Found,24906,12.97
MultipleAddr_Inclusive_Data,inv_4,Found,473,3.50
MultipleAddr_Inclusive_Data,inv_5,MemoryOut,0,0
MultipleAddr_Inclusive_Data,inv_6,Found,1673,4.15
MultipleAddr_Inclusive_Data,inv_7,Found,1605,3.87
MultipleAddr_Inclusive_Data,inv_8,Found,1126244,411.03
MultipleAddr_Inclusive_Data,inv_9,Found,1126282,416.15
MultipleAddr_Inclusive_Data,inv_10,Found,1126256,410.50
MultipleAddr_Inclusive_Data,inv_11,Found,1126230,417.97
MultipleAddr_Inclusive_Data,inv_12,Found,1960534,614.92
MultipleAddr_Inclusive_Data,inv_13,Found,17026,8.97
MultipleAddr_Inclusive_Data,inv_14,Found,86,3.34
MultipleAddr_Inclusive_Data,inv_15,Found,92,3.23
MultipleAddr_Inclusive_Data,inv_16,Found,100,3.38
MultipleAddr_Inclusive_Data,inv_17,Found,789,3.76
MultipleAddr_Inclusive_Data,inv_18,Found,117,3.42
MultipleAddr_Inclusive_Data,inv_19,Found,94,3.29
MultipleAddr_Inclusive_Data,inv_20,Found,3072,4.36
MultipleAddr_Inclusive_Data,inv_21,Found,8696,6.61
MultipleAddr_Inclusive_Data,inv_22,Found,3128,4.39
MultipleAddr_Inclusive_Data,inv_23,Found,98,3.31
MultipleAddr_Inclusive_Data,inv_24,Found,111,3.27
MultipleAddr_Inclusive_Data,inv_25,Found,2899,4.40
MultipleAddr_Inclusive_Data,inv_26,Found,128,3.30
MultipleAddr_Inclusive_Data,inv_27,Found,5850,5.44
MultipleAddr_Inclusive_Data,inv_28,Found,2240,4.15
MultipleAddr_Inclusive_Data,inv_29,Found,14231,25.67
MultipleAddr_Inclusive_Data,inv_30,Found,227,3.36
MultipleAddr_Inclusive_Data,inv_31,Found,12409,7.98
MultipleAddr_Inclusive_Data,inv_32,Found,17131,9.28
MultipleAddr_Inclusive_Data,inv_33,Found,22226,12.70
MultipleAddr_Inclusive_Data,inv_34,Found,545,3.61
MultipleAddr_Inclusive_Data,inv_35,Found,5704,5.41
MultipleAddr_Inclusive_Data,inv_36,Found,3585,6.09
MultipleAddr_Inclusive_Data,inv_37,Found,38103,62.49
MultipleAddr_Inclusive_Data,inv_38,Found,247,3.13
