protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,3.22
MultipleAddr_NonInclusive_Data,inv_2,Found,11951,3.50
MultipleAddr_NonInclusive_Data,inv_3,Found,312,3.14
MultipleAddr_NonInclusive_Data,inv_4,Found,7661,3.41
MultipleAddr_NonInclusive_Data,inv_5,Found,352458,44.82
MultipleAddr_NonInclusive_Data,inv_6,Found,341,3.17
MultipleAddr_NonInclusive_Data,inv_7,Found,3194,3.24
MultipleAddr_NonInclusive_Data,inv_8,Found,10598980,1186.93
MultipleAddr_NonInclusive_Data,inv_9,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_10,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_11,Found,958,3.31
MultipleAddr_NonInclusive_Data,inv_12,Found,1166,3.21
MultipleAddr_NonInclusive_Data,inv_13,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_14,Found,6767875,753.90
MultipleAddr_NonInclusive_Data,inv_15,Found,6768005,758.76
MultipleAddr_NonInclusive_Data,inv_16,Found,4901434,541.79
MultipleAddr_NonInclusive_Data,inv_17,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_18,Found,9242424,1017.12
MultipleAddr_NonInclusive_Data,inv_19,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_20,Found,370,3.07
MultipleAddr_NonInclusive_Data,inv_21,Found,12918,4.47
MultipleAddr_NonInclusive_Data,inv_22,Found,12217,3.62
MultipleAddr_NonInclusive_Data,inv_23,Found,10083,4.16
MultipleAddr_NonInclusive_Data,inv_24,Found,172376,17.36
MultipleAddr_NonInclusive_Data,inv_25,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_26,Found,10596771,1172.08
MultipleAddr_NonInclusive_Data,inv_27,Found,3194552,261.16
MultipleAddr_NonInclusive_Data,inv_28,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_29,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_30,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_31,Found,6769488,776.54
MultipleAddr_NonInclusive_Data,inv_32,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_33,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_34,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_37,Found,16956,4.01
MultipleAddr_NonInclusive_Data,inv_38,Found,73030,6.30
MultipleAddr_NonInclusive_Data,inv_39,Found,872,4.15
MultipleAddr_NonInclusive_Data,inv_40,Found,12078,6.85
MultipleAddr_NonInclusive_Data,inv_41,Found,4032,6.49
