protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,2.43
SingleAddr_Inclusive_Data,inv_2,Found,681,2.51
SingleAddr_Inclusive_Data,inv_3,Found,664,2.50
SingleAddr_Inclusive_Data,inv_4,Found,307,2.45
SingleAddr_Inclusive_Data,inv_5,Found,1112,2.56
SingleAddr_Inclusive_Data,inv_6,Found,1473,2.59
SingleAddr_Inclusive_Data,inv_7,Found,2940,2.67
SingleAddr_Inclusive_Data,inv_8,Found,687,2.48
SingleAddr_Inclusive_Data,inv_9,Found,664,2.54
SingleAddr_Inclusive_Data,inv_10,Found,315,2.44
SingleAddr_Inclusive_Data,inv_11,Found,1398,2.61
SingleAddr_Inclusive_Data,inv_12,Found,1966,2.61
SingleAddr_Inclusive_Data,inv_13,Found,2139,2.66
SingleAddr_Inclusive_Data,inv_14,Found,46,2.41
SingleAddr_Inclusive_Data,inv_15,Found,460,2.53
SingleAddr_Inclusive_Data,inv_16,Found,888,2.63
SingleAddr_Inclusive_Data,inv_17,Found,701,2.50
SingleAddr_Inclusive_Data,inv_18,Found,1331,2.58
SingleAddr_Inclusive_Data,inv_19,Found,323,2.47
SingleAddr_Inclusive_Data,inv_20,Found,533,2.47
SingleAddr_Inclusive_Data,inv_21,Found,735,2.56
SingleAddr_Inclusive_Data,inv_22,Found,1603,2.58
SingleAddr_Inclusive_Data,inv_23,Found,1433,2.59
SingleAddr_Inclusive_Data,inv_24,Found,1591,2.56
SingleAddr_Inclusive_Data,inv_25,Found,1313,2.57
SingleAddr_Inclusive_Data,inv_26,Found,657,2.48
SingleAddr_Inclusive_Data,inv_27,Found,1400,2.54
SingleAddr_Inclusive_Data,inv_28,Found,743,2.50
SingleAddr_Inclusive_Data,inv_29,Found,742,2.51
SingleAddr_Inclusive_Data,inv_30,Found,736,2.47
SingleAddr_Inclusive_Data,inv_31,Found,1510,2.59
SingleAddr_Inclusive_Data,inv_32,Found,1125,2.52
SingleAddr_Inclusive_Data,inv_33,Found,1270,2.53
SingleAddr_Inclusive_Data,inv_34,Found,2383,2.62
SingleAddr_Inclusive_Data,inv_35,Found,2064,2.56
SingleAddr_Inclusive_Data,inv_36,Found,1036,2.62
SingleAddr_Inclusive_Data,inv_37,Found,621,2.47
SingleAddr_Inclusive_Data,inv_38,Found,439,2.43
