protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,3.36
SingleAddr_Inclusive_Nodata,inv_2,Found,594,3.44
SingleAddr_Inclusive_Nodata,inv_3,Found,626,3.48
SingleAddr_Inclusive_Nodata,inv_4,Found,231,3.43
SingleAddr_Inclusive_Nodata,inv_5,Found,1075,3.46
SingleAddr_Inclusive_Nodata,inv_6,Found,1053,3.54
SingleAddr_Inclusive_Nodata,inv_7,Found,10798,5.22
SingleAddr_Inclusive_Nodata,inv_8,Found,417,3.25
SingleAddr_Inclusive_Nodata,inv_9,Found,604,3.44
SingleAddr_Inclusive_Nodata,inv_10,Found,169,3.28
SingleAddr_Inclusive_Nodata,inv_11,Found,850,3.43
SingleAddr_Inclusive_Nodata,inv_12,Found,1007,3.55
SingleAddr_Inclusive_Nodata,inv_13,Found,9191,4.95
SingleAddr_Inclusive_Nodata,inv_14,Found,47,3.38
SingleAddr_Inclusive_Nodata,inv_15,Found,256,3.48
SingleAddr_Inclusive_Nodata,inv_16,Found,656,3.45
SingleAddr_Inclusive_Nodata,inv_17,Found,801,3.49
SingleAddr_Inclusive_Nodata,inv_18,Found,1862,3.68
SingleAddr_Inclusive_Nodata,inv_19,Found,242,3.34
SingleAddr_Inclusive_Nodata,inv_20,Found,799,3.49
SingleAddr_Inclusive_Nodata,inv_21,Found,661,3.46
SingleAddr_Inclusive_Nodata,inv_22,Found,2227,3.74
SingleAddr_Inclusive_Nodata,inv_23,Found,1920,3.55
SingleAddr_Inclusive_Nodata,inv_24,Found,2913,3.88
SingleAddr_Inclusive_Nodata,inv_25,Found,2700,3.70
SingleAddr_Inclusive_Nodata,inv_26,Found,10448,6.51
SingleAddr_Inclusive_Nodata,inv_27,Found,3399,3.99
SingleAddr_Inclusive_Nodata,inv_28,Found,6551,4.42
SingleAddr_Inclusive_Nodata,inv_29,Found,8822,4.90
SingleAddr_Inclusive_Nodata,inv_30,Found,19637,6.96
SingleAddr_Inclusive_Nodata,inv_31,Found,3052,3.97
SingleAddr_Inclusive_Nodata,inv_32,Found,7830,4.73
SingleAddr_Inclusive_Nodata,inv_33,Found,5607,4.32
SingleAddr_Inclusive_Nodata,inv_34,Found,23599,10.22
SingleAddr_Inclusive_Nodata,inv_35,Found,9834,5.13
SingleAddr_Inclusive_Nodata,inv_36,Found,21421,7.33
SingleAddr_Inclusive_Nodata,inv_37,Found,22504,7.63
SingleAddr_Inclusive_Nodata,inv_38,Found,58729,15.49
