protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Data,inv_1,Found,1,3.26
SingleAddr_NonInclusive_Data,inv_2,Found,4230,4.14
SingleAddr_NonInclusive_Data,inv_3,Found,10998,5.55
SingleAddr_NonInclusive_Data,inv_4,Found,4389,3.98
SingleAddr_NonInclusive_Data,inv_5,Found,4247,4.69
SingleAddr_NonInclusive_Data,inv_6,Found,12854,5.79
SingleAddr_NonInclusive_Data,inv_7,Found,9073,4.75
SingleAddr_NonInclusive_Data,inv_8,Found,7062,4.52
SingleAddr_NonInclusive_Data,inv_9,Found,4472,3.96
SingleAddr_NonInclusive_Data,inv_10,Found,7805,4.68
SingleAddr_NonInclusive_Data,inv_11,Found,12989,5.84
SingleAddr_NonInclusive_Data,inv_12,Found,9644,4.86
SingleAddr_NonInclusive_Data,inv_13,Found,6584,4.76
SingleAddr_NonInclusive_Data,inv_14,Found,4820,4.12
SingleAddr_NonInclusive_Data,inv_15,Found,6182,4.29
SingleAddr_NonInclusive_Data,inv_16,Found,6121,4.29
SingleAddr_NonInclusive_Data,inv_17,Found,5144,4.10
SingleAddr_NonInclusive_Data,inv_18,Found,5071,4.03
SingleAddr_NonInclusive_Data,inv_19,Found,4375,3.89
SingleAddr_NonInclusive_Data,inv_20,Found,13035,5.90
SingleAddr_NonInclusive_Data,inv_21,Found,42,3.36
SingleAddr_NonInclusive_Data,inv_22,Found,56,3.30
SingleAddr_NonInclusive_Data,inv_23,Found,312,3.49
SingleAddr_NonInclusive_Data,inv_24,Found,79,3.13
SingleAddr_NonInclusive_Data,inv_25,Found,1928,3.58
SingleAddr_NonInclusive_Data,inv_26,Found,536,3.18
SingleAddr_NonInclusive_Data,inv_27,Found,631,3.37
SingleAddr_NonInclusive_Data,inv_28,Found,3804,3.97
SingleAddr_NonInclusive_Data,inv_29,Found,751,3.57
SingleAddr_NonInclusive_Data,inv_30,Found,894,3.40
SingleAddr_NonInclusive_Data,inv_31,Found,958,3.54
SingleAddr_NonInclusive_Data,inv_32,Found,5119,5.52
SingleAddr_NonInclusive_Data,inv_33,Found,743,3.33
SingleAddr_NonInclusive_Data,inv_34,Found,559,3.57
SingleAddr_NonInclusive_Data,inv_35,Found,654,3.36
SingleAddr_NonInclusive_Data,inv_36,Found,877,3.41
SingleAddr_NonInclusive_Data,inv_37,Found,260,3.29
SingleAddr_NonInclusive_Data,inv_38,Found,482,3.43
SingleAddr_NonInclusive_Data,inv_39,Found,247,3.30
SingleAddr_NonInclusive_Data,inv_40,Found,2845,3.55
SingleAddr_NonInclusive_Data,inv_41,Found,3451,3.83
SingleAddr_NonInclusive_Data,inv_42,Found,6538,4.40
SingleAddr_NonInclusive_Data,inv_43,Found,230,3.30
SingleAddr_NonInclusive_Data,inv_44,Found,742,3.33
SingleAddr_NonInclusive_Data,inv_45,Found,510,3.53
SingleAddr_NonInclusive_Data,inv_46,Found,270,3.36
SingleAddr_NonInclusive_Data,inv_47,Found,294,3.15
SingleAddr_NonInclusive_Data,inv_48,Found,3410,4.65
SingleAddr_NonInclusive_Data,inv_49,Found,554,3.38
SingleAddr_NonInclusive_Data,inv_50,Found,272,3.44
SingleAddr_NonInclusive_Data,inv_51,Found,226,3.33
SingleAddr_NonInclusive_Data,inv_52,Found,943,3.58
SingleAddr_NonInclusive_Data,inv_53,Found,675,3.60
SingleAddr_NonInclusive_Data,inv_54,Found,342,3.21
SingleAddr_NonInclusive_Data,inv_55,Found,215,3.17
SingleAddr_NonInclusive_Data,inv_56,Found,1129,3.44
SingleAddr_NonInclusive_Data,inv_57,Found,331,3.34
SingleAddr_NonInclusive_Data,inv_58,Found,273,3.31
SingleAddr_NonInclusive_Data,inv_59,Found,270,3.20
SingleAddr_NonInclusive_Data,inv_60,Found,2369,3.72
SingleAddr_NonInclusive_Data,inv_61,Found,3575,3.88
SingleAddr_NonInclusive_Data,inv_62,Found,109,3.28
SingleAddr_NonInclusive_Data,inv_63,Found,274,3.27
SingleAddr_NonInclusive_Data,inv_64,Found,2993,4.35
SingleAddr_NonInclusive_Data,inv_65,Found,818,3.41
SingleAddr_NonInclusive_Data,inv_66,Found,123,3.18
SingleAddr_NonInclusive_Data,inv_67,Found,273,3.29
SingleAddr_NonInclusive_Data,inv_68,Found,2953,4.45
SingleAddr_NonInclusive_Data,inv_69,Found,276,3.24
SingleAddr_NonInclusive_Data,inv_70,Found,312,3.51
SingleAddr_NonInclusive_Data,inv_71,Found,202,3.29
SingleAddr_NonInclusive_Data,inv_72,Found,474,3.37
SingleAddr_NonInclusive_Data,inv_73,Found,196,3.35
SingleAddr_NonInclusive_Data,inv_74,Found,146,3.29
SingleAddr_NonInclusive_Data,inv_75,Found,1923,3.93
SingleAddr_NonInclusive_Data,inv_76,Found,1966,3.65
SingleAddr_NonInclusive_Data,inv_77,Found,1910,3.58
SingleAddr_NonInclusive_Data,inv_78,Found,2035,3.98
SingleAddr_NonInclusive_Data,inv_79,Found,2185,3.61
