protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Nodata,inv_1,Found,1,2.41
SingleAddr_NonInclusive_Nodata,inv_2,Found,1328,2.55
SingleAddr_NonInclusive_Nodata,inv_3,Found,1278,2.57
SingleAddr_NonInclusive_Nodata,inv_4,Found,877,2.57
SingleAddr_NonInclusive_Nodata,inv_5,Found,123120,25.37
SingleAddr_NonInclusive_Nodata,inv_6,Found,848,2.54
SingleAddr_NonInclusive_Nodata,inv_7,Found,1210,2.56
SingleAddr_NonInclusive_Nodata,inv_8,Found,25093,6.07
SingleAddr_NonInclusive_Nodata,inv_9,Found,1060,2.58
SingleAddr_NonInclusive_Nodata,inv_10,Found,933840,188.28
SingleAddr_NonInclusive_Nodata,inv_11,Found,3354,2.80
SingleAddr_NonInclusive_Nodata,inv_12,Found,804,2.51
SingleAddr_NonInclusive_Nodata,inv_13,Found,5545480,1114.07
SingleAddr_NonInclusive_Nodata,inv_14,Found,1177,2.58
SingleAddr_NonInclusive_Nodata,inv_15,Found,4279726,971.49
SingleAddr_NonInclusive_Nodata,inv_16,Found,137326,28.88
SingleAddr_NonInclusive_Nodata,inv_17,Interrupt,0,0
SingleAddr_NonInclusive_Nodata,inv_18,Found,1138939,241.07
SingleAddr_NonInclusive_Nodata,inv_19,Interrupt,0,0
SingleAddr_NonInclusive_Nodata,inv_20,Found,776,2.54
SingleAddr_NonInclusive_Nodata,inv_21,Found,769,2.59
SingleAddr_NonInclusive_Nodata,inv_22,Found,810,2.57
SingleAddr_NonInclusive_Nodata,inv_23,Found,953,2.59
SingleAddr_NonInclusive_Nodata,inv_24,Found,143165,24.95
SingleAddr_NonInclusive_Nodata,inv_25,Found,1560,2.60
SingleAddr_NonInclusive_Nodata,inv_26,Found,903,2.57
SingleAddr_NonInclusive_Nodata,inv_27,Found,12695,4.46
SingleAddr_NonInclusive_Nodata,inv_28,Found,13469656,3037.28
SingleAddr_NonInclusive_Nodata,inv_29,Found,561199,119.73
SingleAddr_NonInclusive_Nodata,inv_30,Found,5072768,1022.87
SingleAddr_NonInclusive_Nodata,inv_31,Found,15280737,3009.13
SingleAddr_NonInclusive_Nodata,inv_32,Interrupt,0,0
SingleAddr_NonInclusive_Nodata,inv_33,Found,4293173,935.05
SingleAddr_NonInclusive_Nodata,inv_34,Interrupt,0,0
SingleAddr_NonInclusive_Nodata,inv_35,Found,15939907,3470.82
SingleAddr_NonInclusive_Nodata,inv_36,Interrupt,0,0
SingleAddr_NonInclusive_Nodata,inv_37,Found,819,2.52
SingleAddr_NonInclusive_Nodata,inv_38,Found,742,2.56
SingleAddr_NonInclusive_Nodata,inv_39,Found,739,2.54
SingleAddr_NonInclusive_Nodata,inv_40,Found,746,2.56
SingleAddr_NonInclusive_Nodata,inv_41,Found,939,2.56
SingleAddr_NonInclusive_Nodata,inv_42,Found,7479,3.26
