protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,4.84
MultipleAddr_Inclusive_Data,inv_2,Found,486,4.94
MultipleAddr_Inclusive_Data,inv_3,Found,28510,11.53
MultipleAddr_Inclusive_Data,inv_4,Found,472,5.04
MultipleAddr_Inclusive_Data,inv_5,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_6,Found,1671,5.25
MultipleAddr_Inclusive_Data,inv_7,Found,1602,5.25
MultipleAddr_Inclusive_Data,inv_8,Found,728514,148.08
MultipleAddr_Inclusive_Data,inv_9,Found,897992,176.75
MultipleAddr_Inclusive_Data,inv_10,Found,443434,95.21
MultipleAddr_Inclusive_Data,inv_11,Found,1224548,235.74
MultipleAddr_Inclusive_Data,inv_12,Found,873695,178.28
MultipleAddr_Inclusive_Data,inv_13,Found,18119,11.67
MultipleAddr_Inclusive_Data,inv_14,Found,86,5.04
MultipleAddr_Inclusive_Data,inv_15,Found,92,4.98
MultipleAddr_Inclusive_Data,inv_16,Found,100,4.96
MultipleAddr_Inclusive_Data,inv_17,Found,1094,5.32
MultipleAddr_Inclusive_Data,inv_18,Found,117,4.99
MultipleAddr_Inclusive_Data,inv_19,Found,94,4.91
MultipleAddr_Inclusive_Data,inv_20,Found,3174,6.29
MultipleAddr_Inclusive_Data,inv_21,Found,7174,6.66
MultipleAddr_Inclusive_Data,inv_22,Found,3643,5.81
MultipleAddr_Inclusive_Data,inv_23,Found,98,4.96
MultipleAddr_Inclusive_Data,inv_24,Found,111,4.97
MultipleAddr_Inclusive_Data,inv_25,Found,3099,5.48
MultipleAddr_Inclusive_Data,inv_26,Found,128,4.87
MultipleAddr_Inclusive_Data,inv_27,Found,5741,6.14
MultipleAddr_Inclusive_Data,inv_28,Found,2586,5.41
MultipleAddr_Inclusive_Data,inv_29,Found,11756,16.85
MultipleAddr_Inclusive_Data,inv_30,Found,227,5.09
MultipleAddr_Inclusive_Data,inv_31,Found,11918,9.57
MultipleAddr_Inclusive_Data,inv_32,Found,11828,9.98
MultipleAddr_Inclusive_Data,inv_33,Found,14993,8.37
MultipleAddr_Inclusive_Data,inv_34,Found,545,5.15
MultipleAddr_Inclusive_Data,inv_35,Found,5538,7.45
MultipleAddr_Inclusive_Data,inv_36,Found,3880,7.12
MultipleAddr_Inclusive_Data,inv_37,Found,34224,38.50
MultipleAddr_Inclusive_Data,inv_38,Found,247,4.98
