protocol_model,inv_no,result,states,time
MultipleAddr_Inclusive_Data,inv_1,Found,1,2.82
MultipleAddr_Inclusive_Data,inv_2,Found,486,4.86
MultipleAddr_Inclusive_Data,inv_3,Found,33839,659.89
MultipleAddr_Inclusive_Data,inv_4,Found,472,5.16
MultipleAddr_Inclusive_Data,inv_5,Found,559,5.54
MultipleAddr_Inclusive_Data,inv_6,Found,1312,9.35
MultipleAddr_Inclusive_Data,inv_7,Found,603,5.74
MultipleAddr_Inclusive_Data,inv_8,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_9,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_10,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_11,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_12,Interrupt,0,0
MultipleAddr_Inclusive_Data,inv_13,Found,8208,50.13
MultipleAddr_Inclusive_Data,inv_14,Found,86,2.96
MultipleAddr_Inclusive_Data,inv_15,Found,92,3.22
MultipleAddr_Inclusive_Data,inv_16,Found,100,3.26
MultipleAddr_Inclusive_Data,inv_17,Found,2604,25.11
MultipleAddr_Inclusive_Data,inv_18,Found,117,3.27
MultipleAddr_Inclusive_Data,inv_19,Found,94,3.14
MultipleAddr_Inclusive_Data,inv_20,Found,378,4.51
MultipleAddr_Inclusive_Data,inv_21,Found,3292,19.57
MultipleAddr_Inclusive_Data,inv_22,Found,396,4.35
MultipleAddr_Inclusive_Data,inv_23,Found,98,3.22
MultipleAddr_Inclusive_Data,inv_24,Found,111,3.22
MultipleAddr_Inclusive_Data,inv_25,Found,9085,93.20
MultipleAddr_Inclusive_Data,inv_26,Found,128,3.24
MultipleAddr_Inclusive_Data,inv_27,Found,6643,41.32
MultipleAddr_Inclusive_Data,inv_28,Found,8796,65.50
MultipleAddr_Inclusive_Data,inv_29,Found,27583,557.73
MultipleAddr_Inclusive_Data,inv_30,Found,227,3.73
MultipleAddr_Inclusive_Data,inv_31,Found,8531,79.74
MultipleAddr_Inclusive_Data,inv_32,Found,14769,211.92
MultipleAddr_Inclusive_Data,inv_33,Found,51907,1054.78
MultipleAddr_Inclusive_Data,inv_34,Found,8252,58.60
MultipleAddr_Inclusive_Data,inv_35,Found,855,5.42
MultipleAddr_Inclusive_Data,inv_36,Found,6716,63.92
MultipleAddr_Inclusive_Data,inv_37,Found,18715,391.20
MultipleAddr_Inclusive_Data,inv_38,Found,282,3.30
