protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,4.87
MultipleAddr_NonInclusive_Data,inv_2,Found,318322,17.17
MultipleAddr_NonInclusive_Data,inv_3,Found,99,4.84
MultipleAddr_NonInclusive_Data,inv_4,Found,406401,20.16
MultipleAddr_NonInclusive_Data,inv_5,Found,422396,22.63
MultipleAddr_NonInclusive_Data,inv_6,Found,741,4.87
MultipleAddr_NonInclusive_Data,inv_7,Found,489952,21.50
MultipleAddr_NonInclusive_Data,inv_8,Found,467377,22.57
MultipleAddr_NonInclusive_Data,inv_9,Found,225346,13.66
MultipleAddr_NonInclusive_Data,inv_10,Found,335868,19.21
MultipleAddr_NonInclusive_Data,inv_11,Found,20896,5.50
MultipleAddr_NonInclusive_Data,inv_12,Found,442972,20.10
MultipleAddr_NonInclusive_Data,inv_13,Found,3752043,154.56
MultipleAddr_NonInclusive_Data,inv_14,Found,401684,22.28
MultipleAddr_NonInclusive_Data,inv_15,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_16,Found,279302,14.83
MultipleAddr_NonInclusive_Data,inv_17,Found,286298,15.27
MultipleAddr_NonInclusive_Data,inv_18,Found,712780,30.15
MultipleAddr_NonInclusive_Data,inv_19,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_20,Found,2858,5.01
MultipleAddr_NonInclusive_Data,inv_21,Found,305944,18.87
MultipleAddr_NonInclusive_Data,inv_22,Found,909431,36.53
MultipleAddr_NonInclusive_Data,inv_23,Found,422005,20.34
MultipleAddr_NonInclusive_Data,inv_24,Found,411350,20.10
MultipleAddr_NonInclusive_Data,inv_25,Found,222822,13.40
MultipleAddr_NonInclusive_Data,inv_26,Found,557072,26.10
MultipleAddr_NonInclusive_Data,inv_27,Found,238578,14.15
MultipleAddr_NonInclusive_Data,inv_28,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_29,Found,460564,20.54
MultipleAddr_NonInclusive_Data,inv_30,Found,3896773,151.56
MultipleAddr_NonInclusive_Data,inv_31,Found,369905,18.71
MultipleAddr_NonInclusive_Data,inv_32,Found,15280899,727.45
MultipleAddr_NonInclusive_Data,inv_33,Found,483220,21.47
MultipleAddr_NonInclusive_Data,inv_34,Found,965293,44.74
MultipleAddr_NonInclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_37,Found,15536,7.29
MultipleAddr_NonInclusive_Data,inv_38,Found,13915,5.47
MultipleAddr_NonInclusive_Data,inv_39,Found,124596,11.18
MultipleAddr_NonInclusive_Data,inv_40,Found,517300,23.58
MultipleAddr_NonInclusive_Data,inv_41,Found,440312,21.12
MultipleAddr_NonInclusive_Data,inv_42,Found,429365,20.59
MultipleAddr_NonInclusive_Data,inv_43,Found,171711,14.99
MultipleAddr_NonInclusive_Data,inv_44,Found,781605,34.45
MultipleAddr_NonInclusive_Data,inv_45,Found,303487,15.64
MultipleAddr_NonInclusive_Data,inv_46,Found,422690,20.74
MultipleAddr_NonInclusive_Data,inv_47,Found,701006,30.75
MultipleAddr_NonInclusive_Data,inv_48,Found,444184,22.21
MultipleAddr_NonInclusive_Data,inv_49,Found,225452,13.42
MultipleAddr_NonInclusive_Data,inv_50,Found,1049224,46.88
MultipleAddr_NonInclusive_Data,inv_51,Found,1013245,40.73
MultipleAddr_NonInclusive_Data,inv_52,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_53,Found,362956,18.20
MultipleAddr_NonInclusive_Data,inv_54,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_55,Found,279518,14.59
MultipleAddr_NonInclusive_Data,inv_56,Found,283935,18.36
MultipleAddr_NonInclusive_Data,inv_57,Found,390290,20.56
MultipleAddr_NonInclusive_Data,inv_58,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_59,Found,201101,14.29
MultipleAddr_NonInclusive_Data,inv_60,Found,928489,35.17
MultipleAddr_NonInclusive_Data,inv_61,Found,422090,19.49
MultipleAddr_NonInclusive_Data,inv_62,Found,416979,19.44
MultipleAddr_NonInclusive_Data,inv_63,Found,477541,21.56
MultipleAddr_NonInclusive_Data,inv_64,Found,478725,22.05
MultipleAddr_NonInclusive_Data,inv_65,Found,228864,13.95
MultipleAddr_NonInclusive_Data,inv_66,Found,1175976,49.62
MultipleAddr_NonInclusive_Data,inv_67,Found,210815,12.78
MultipleAddr_NonInclusive_Data,inv_68,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_69,Found,355270,17.72
MultipleAddr_NonInclusive_Data,inv_70,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_71,Found,398707,18.68
MultipleAddr_NonInclusive_Data,inv_72,Found,640320,34.14
MultipleAddr_NonInclusive_Data,inv_73,Found,1728225,69.12
MultipleAddr_NonInclusive_Data,inv_74,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_75,Found,446250,22.58
MultipleAddr_NonInclusive_Data,inv_76,Found,840181,46.11
MultipleAddr_NonInclusive_Data,inv_77,Found,126804,15.26
MultipleAddr_NonInclusive_Data,inv_78,Found,512765,22.06
MultipleAddr_NonInclusive_Data,inv_79,Found,530186,22.22
MultipleAddr_NonInclusive_Data,inv_80,Found,326754,15.97
MultipleAddr_NonInclusive_Data,inv_81,Found,1700172,60.91
MultipleAddr_NonInclusive_Data,inv_82,Found,1862599,66.68
MultipleAddr_NonInclusive_Data,inv_83,Found,562855,28.12
MultipleAddr_NonInclusive_Data,inv_84,Found,1410519,54.64
MultipleAddr_NonInclusive_Data,inv_85,Found,1164319,43.43
MultipleAddr_NonInclusive_Data,inv_86,Found,643484,32.15
MultipleAddr_NonInclusive_Data,inv_87,Found,243084,14.48
MultipleAddr_NonInclusive_Data,inv_88,Found,381597,20.65
MultipleAddr_NonInclusive_Data,inv_89,Found,1089776,41.09
MultipleAddr_NonInclusive_Data,inv_90,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_91,Found,528946,24.27
MultipleAddr_NonInclusive_Data,inv_92,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_93,Found,558506,23.56
MultipleAddr_NonInclusive_Data,inv_94,Found,299295,16.00
MultipleAddr_NonInclusive_Data,inv_95,Found,603881,26.36
MultipleAddr_NonInclusive_Data,inv_96,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_97,Found,1615223,59.85
MultipleAddr_NonInclusive_Data,inv_98,Found,964683,39.76
MultipleAddr_NonInclusive_Data,inv_99,Found,511974,24.57
MultipleAddr_NonInclusive_Data,inv_100,Found,657527,29.28
MultipleAddr_NonInclusive_Data,inv_101,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_102,Found,834143,35.43
MultipleAddr_NonInclusive_Data,inv_103,Found,296869,15.83
MultipleAddr_NonInclusive_Data,inv_104,Found,365420,18.37
MultipleAddr_NonInclusive_Data,inv_105,Found,1196107,43.84
MultipleAddr_NonInclusive_Data,inv_106,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_107,Found,492773,24.56
MultipleAddr_NonInclusive_Data,inv_108,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_109,Found,598199,24.37
MultipleAddr_NonInclusive_Data,inv_110,Found,867257,38.13
MultipleAddr_NonInclusive_Data,inv_111,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_112,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_113,Found,1752264,62.83
MultipleAddr_NonInclusive_Data,inv_114,Found,1225276,47.95
MultipleAddr_NonInclusive_Data,inv_115,Found,766568,30.77
MultipleAddr_NonInclusive_Data,inv_116,Found,869112,34.61
MultipleAddr_NonInclusive_Data,inv_117,Found,712526,27.44
MultipleAddr_NonInclusive_Data,inv_118,Found,931917,39.73
MultipleAddr_NonInclusive_Data,inv_119,Found,1171579,42.47
MultipleAddr_NonInclusive_Data,inv_120,Found,722094,31.06
MultipleAddr_NonInclusive_Data,inv_121,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_122,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_123,Found,458834,24.89
MultipleAddr_NonInclusive_Data,inv_124,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_125,Found,494497,21.71
MultipleAddr_NonInclusive_Data,inv_126,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_127,Found,645061,27.49
MultipleAddr_NonInclusive_Data,inv_128,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_129,Found,2910521,105.48
MultipleAddr_NonInclusive_Data,inv_130,Found,964711,38.44
MultipleAddr_NonInclusive_Data,inv_131,Found,512002,22.13
MultipleAddr_NonInclusive_Data,inv_132,Found,670449,30.03
MultipleAddr_NonInclusive_Data,inv_133,Found,709555,31.76
MultipleAddr_NonInclusive_Data,inv_134,Found,1013062,41.59
MultipleAddr_NonInclusive_Data,inv_135,Found,1171566,42.50
MultipleAddr_NonInclusive_Data,inv_136,Found,646931,27.60
MultipleAddr_NonInclusive_Data,inv_137,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_138,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_139,Found,549132,25.18
MultipleAddr_NonInclusive_Data,inv_140,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_141,Found,524062,22.89
MultipleAddr_NonInclusive_Data,inv_142,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_143,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_144,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_145,Found,389020,24.74
MultipleAddr_NonInclusive_Data,inv_146,Found,108481,11.84
MultipleAddr_NonInclusive_Data,inv_147,Found,752326,37.13
MultipleAddr_NonInclusive_Data,inv_148,Found,189276,15.12
MultipleAddr_NonInclusive_Data,inv_149,Found,1568224,80.17
MultipleAddr_NonInclusive_Data,inv_150,Found,709228,40.09
MultipleAddr_NonInclusive_Data,inv_151,Found,1167147,42.09
MultipleAddr_NonInclusive_Data,inv_152,Found,1099310,52.54
MultipleAddr_NonInclusive_Data,inv_153,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_154,Found,7980789,365.72
MultipleAddr_NonInclusive_Data,inv_155,Found,1352339,60.31
MultipleAddr_NonInclusive_Data,inv_156,Found,1065707,55.98
MultipleAddr_NonInclusive_Data,inv_157,Found,1217293,44.12
MultipleAddr_NonInclusive_Data,inv_158,Found,786645,32.11
MultipleAddr_NonInclusive_Data,inv_159,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_160,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_161,Found,309939,18.47
MultipleAddr_NonInclusive_Data,inv_162,Found,382474,18.10
MultipleAddr_NonInclusive_Data,inv_163,Found,437660,19.66
MultipleAddr_NonInclusive_Data,inv_164,Found,294432,14.98
MultipleAddr_NonInclusive_Data,inv_165,Found,278790,14.50
MultipleAddr_NonInclusive_Data,inv_166,Found,550614,24.86
MultipleAddr_NonInclusive_Data,inv_167,Found,225801,16.72
MultipleAddr_NonInclusive_Data,inv_168,Found,401363,20.88
MultipleAddr_NonInclusive_Data,inv_169,Found,487363,25.88
MultipleAddr_NonInclusive_Data,inv_170,Found,13126182,632.28
MultipleAddr_NonInclusive_Data,inv_171,Found,511971,23.10
MultipleAddr_NonInclusive_Data,inv_172,Found,321552,18.43
MultipleAddr_NonInclusive_Data,inv_173,Found,284605,16.75
MultipleAddr_NonInclusive_Data,inv_174,Found,231257,13.16
MultipleAddr_NonInclusive_Data,inv_175,Found,732027,32.54
MultipleAddr_NonInclusive_Data,inv_176,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_177,Found,255602,18.87
MultipleAddr_NonInclusive_Data,inv_178,Found,382264,18.00
MultipleAddr_NonInclusive_Data,inv_179,Found,412997,18.69
MultipleAddr_NonInclusive_Data,inv_180,Found,293695,14.99
MultipleAddr_NonInclusive_Data,inv_181,Found,222808,12.89
MultipleAddr_NonInclusive_Data,inv_182,Found,815765,34.50
MultipleAddr_NonInclusive_Data,inv_183,Found,271508,14.84
MultipleAddr_NonInclusive_Data,inv_184,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_185,Found,210814,15.21
MultipleAddr_NonInclusive_Data,inv_186,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_187,Found,391416,18.88
MultipleAddr_NonInclusive_Data,inv_188,Found,318763,20.98
MultipleAddr_NonInclusive_Data,inv_189,Found,287503,14.90
MultipleAddr_NonInclusive_Data,inv_190,Found,231241,13.28
MultipleAddr_NonInclusive_Data,inv_191,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_192,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_193,Found,239476,13.44
MultipleAddr_NonInclusive_Data,inv_194,Found,393576,18.77
MultipleAddr_NonInclusive_Data,inv_195,Found,303475,15.84
MultipleAddr_NonInclusive_Data,inv_196,Found,295357,16.38
MultipleAddr_NonInclusive_Data,inv_197,Found,330173,15.93
MultipleAddr_NonInclusive_Data,inv_198,Found,528046,22.57
MultipleAddr_NonInclusive_Data,inv_199,Found,225902,13.11
MultipleAddr_NonInclusive_Data,inv_200,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_201,Found,459119,20.13
MultipleAddr_NonInclusive_Data,inv_202,Found,378134,17.46
MultipleAddr_NonInclusive_Data,inv_203,Found,343658,16.97
MultipleAddr_NonInclusive_Data,inv_204,Found,321471,15.85
MultipleAddr_NonInclusive_Data,inv_205,Found,283711,14.64
MultipleAddr_NonInclusive_Data,inv_206,Found,231846,13.25
MultipleAddr_NonInclusive_Data,inv_207,Found,400375,18.67
MultipleAddr_NonInclusive_Data,inv_208,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_209,Found,239504,13.39
MultipleAddr_NonInclusive_Data,inv_210,Found,385487,18.01
MultipleAddr_NonInclusive_Data,inv_211,Found,416417,18.82
MultipleAddr_NonInclusive_Data,inv_212,Found,294012,15.18
MultipleAddr_NonInclusive_Data,inv_213,Found,330991,15.81
MultipleAddr_NonInclusive_Data,inv_214,Found,432998,19.36
MultipleAddr_NonInclusive_Data,inv_215,Found,228985,13.93
MultipleAddr_NonInclusive_Data,inv_216,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_217,Found,210799,14.38
MultipleAddr_NonInclusive_Data,inv_218,Found,505909,23.51
MultipleAddr_NonInclusive_Data,inv_219,Found,344676,16.96
MultipleAddr_NonInclusive_Data,inv_220,Found,319037,15.93
MultipleAddr_NonInclusive_Data,inv_221,Found,287387,15.91
MultipleAddr_NonInclusive_Data,inv_222,Found,231830,13.29
MultipleAddr_NonInclusive_Data,inv_223,Found,951282,39.59
MultipleAddr_NonInclusive_Data,inv_224,Interrupt,0,0
