protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,4.73
MultipleAddr_NonInclusive_Data,inv_2,Found,881108,52.08
MultipleAddr_NonInclusive_Data,inv_3,Found,99,4.78
MultipleAddr_NonInclusive_Data,inv_4,Found,882987,50.44
MultipleAddr_NonInclusive_Data,inv_5,Found,650306,47.58
MultipleAddr_NonInclusive_Data,inv_6,Found,745,4.73
MultipleAddr_NonInclusive_Data,inv_7,Found,982022,52.85
MultipleAddr_NonInclusive_Data,inv_8,Found,625839,39.59
MultipleAddr_NonInclusive_Data,inv_9,Found,847502,48.61
MultipleAddr_NonInclusive_Data,inv_10,Found,926526,57.03
MultipleAddr_NonInclusive_Data,inv_11,Found,30506,7.17
MultipleAddr_NonInclusive_Data,inv_12,Found,984136,51.57
MultipleAddr_NonInclusive_Data,inv_13,Found,870751,48.68
MultipleAddr_NonInclusive_Data,inv_14,Found,849186,51.78
MultipleAddr_NonInclusive_Data,inv_15,Found,687763,37.75
MultipleAddr_NonInclusive_Data,inv_16,Found,833289,49.46
MultipleAddr_NonInclusive_Data,inv_17,Found,634156,34.49
MultipleAddr_NonInclusive_Data,inv_18,Found,949949,52.46
MultipleAddr_NonInclusive_Data,inv_19,Found,735017,39.60
MultipleAddr_NonInclusive_Data,inv_20,Found,7251,4.87
MultipleAddr_NonInclusive_Data,inv_21,Found,669761,40.63
MultipleAddr_NonInclusive_Data,inv_22,Found,810240,50.83
MultipleAddr_NonInclusive_Data,inv_23,Found,1295747,76.09
MultipleAddr_NonInclusive_Data,inv_24,Found,869477,49.34
MultipleAddr_NonInclusive_Data,inv_25,Found,435212,25.39
MultipleAddr_NonInclusive_Data,inv_26,Found,819733,47.18
MultipleAddr_NonInclusive_Data,inv_27,Found,801122,46.23
MultipleAddr_NonInclusive_Data,inv_28,Found,1567748,84.60
MultipleAddr_NonInclusive_Data,inv_29,MemoryOut,0,0
MultipleAddr_NonInclusive_Data,inv_30,Found,1016646,55.22
MultipleAddr_NonInclusive_Data,inv_31,Found,1303335,72.60
MultipleAddr_NonInclusive_Data,inv_32,Found,1289745,70.24
