protocol_model,inv_no,result,states,time
MultipleAddr_NonInclusive_Data,inv_1,Found,1,4.70
MultipleAddr_NonInclusive_Data,inv_2,Found,311363,17.00
MultipleAddr_NonInclusive_Data,inv_3,Found,99,4.88
MultipleAddr_NonInclusive_Data,inv_4,Found,310580,16.86
MultipleAddr_NonInclusive_Data,inv_5,Found,346849,17.54
MultipleAddr_NonInclusive_Data,inv_6,Found,740,4.94
MultipleAddr_NonInclusive_Data,inv_7,Found,385844,18.49
MultipleAddr_NonInclusive_Data,inv_8,Found,264366,15.31
MultipleAddr_NonInclusive_Data,inv_9,Found,664617,29.00
MultipleAddr_NonInclusive_Data,inv_10,Found,253313,14.35
MultipleAddr_NonInclusive_Data,inv_11,Found,17983,5.31
MultipleAddr_NonInclusive_Data,inv_12,Found,409303,19.26
MultipleAddr_NonInclusive_Data,inv_13,Found,1003823,41.35
MultipleAddr_NonInclusive_Data,inv_14,Found,416357,19.00
MultipleAddr_NonInclusive_Data,inv_15,Found,317383,16.54
MultipleAddr_NonInclusive_Data,inv_16,Found,230010,13.56
MultipleAddr_NonInclusive_Data,inv_17,Found,619241,30.66
MultipleAddr_NonInclusive_Data,inv_18,Found,411061,20.99
MultipleAddr_NonInclusive_Data,inv_19,Found,254611,14.72
MultipleAddr_NonInclusive_Data,inv_20,Found,16294,5.26
MultipleAddr_NonInclusive_Data,inv_21,Found,202462,14.70
MultipleAddr_NonInclusive_Data,inv_22,Found,483997,22.94
MultipleAddr_NonInclusive_Data,inv_23,Found,294951,15.96
MultipleAddr_NonInclusive_Data,inv_24,Found,454001,21.72
MultipleAddr_NonInclusive_Data,inv_25,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_26,Found,265299,15.95
MultipleAddr_NonInclusive_Data,inv_27,Found,529968,25.47
MultipleAddr_NonInclusive_Data,inv_28,Found,306040,16.26
MultipleAddr_NonInclusive_Data,inv_29,Found,575876,26.02
MultipleAddr_NonInclusive_Data,inv_30,Found,1255743,52.19
MultipleAddr_NonInclusive_Data,inv_31,Found,351994,18.08
MultipleAddr_NonInclusive_Data,inv_32,Found,334243,18.39
MultipleAddr_NonInclusive_Data,inv_33,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_34,Found,361991,19.41
MultipleAddr_NonInclusive_Data,inv_35,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_36,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_37,Found,15850,5.81
MultipleAddr_NonInclusive_Data,inv_38,Found,13466,5.40
MultipleAddr_NonInclusive_Data,inv_39,Found,126150,11.31
MultipleAddr_NonInclusive_Data,inv_40,Found,687767,29.58
MultipleAddr_NonInclusive_Data,inv_41,Found,431554,20.66
MultipleAddr_NonInclusive_Data,inv_42,Found,400314,19.51
MultipleAddr_NonInclusive_Data,inv_43,Found,210617,14.24
MultipleAddr_NonInclusive_Data,inv_44,Found,226789,17.37
MultipleAddr_NonInclusive_Data,inv_45,Found,409407,19.07
MultipleAddr_NonInclusive_Data,inv_46,Found,305909,15.91
MultipleAddr_NonInclusive_Data,inv_47,Found,437916,20.26
MultipleAddr_NonInclusive_Data,inv_48,Found,370245,18.66
MultipleAddr_NonInclusive_Data,inv_49,Found,422612,19.80
MultipleAddr_NonInclusive_Data,inv_50,Found,417633,19.56
MultipleAddr_NonInclusive_Data,inv_51,Found,420862,19.50
MultipleAddr_NonInclusive_Data,inv_52,Found,5311116,241.22
MultipleAddr_NonInclusive_Data,inv_53,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_54,Found,432007,20.53
MultipleAddr_NonInclusive_Data,inv_55,Found,481581,21.51
MultipleAddr_NonInclusive_Data,inv_56,Found,152365,10.90
MultipleAddr_NonInclusive_Data,inv_57,Found,326967,16.97
MultipleAddr_NonInclusive_Data,inv_58,Found,369645,17.46
MultipleAddr_NonInclusive_Data,inv_59,Found,237421,15.34
MultipleAddr_NonInclusive_Data,inv_60,Found,502771,22.70
MultipleAddr_NonInclusive_Data,inv_61,Found,288372,14.95
MultipleAddr_NonInclusive_Data,inv_62,Found,559299,25.16
MultipleAddr_NonInclusive_Data,inv_63,Found,441652,20.24
MultipleAddr_NonInclusive_Data,inv_64,Found,318617,16.76
MultipleAddr_NonInclusive_Data,inv_65,Found,230514,13.55
MultipleAddr_NonInclusive_Data,inv_66,Found,509826,23.61
MultipleAddr_NonInclusive_Data,inv_67,Found,329128,16.48
MultipleAddr_NonInclusive_Data,inv_68,Found,571536,24.21
MultipleAddr_NonInclusive_Data,inv_69,Found,341244,17.50
MultipleAddr_NonInclusive_Data,inv_70,Found,1994231,80.39
MultipleAddr_NonInclusive_Data,inv_71,Found,582139,23.77
MultipleAddr_NonInclusive_Data,inv_72,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_73,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_74,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_75,Found,16784,5.57
MultipleAddr_NonInclusive_Data,inv_76,Found,37600,6.10
MultipleAddr_NonInclusive_Data,inv_77,Found,102666,9.21
MultipleAddr_NonInclusive_Data,inv_78,Found,452317,20.69
MultipleAddr_NonInclusive_Data,inv_79,Found,427831,19.34
MultipleAddr_NonInclusive_Data,inv_80,Found,444305,19.80
MultipleAddr_NonInclusive_Data,inv_81,Found,955448,37.73
MultipleAddr_NonInclusive_Data,inv_82,Found,770703,31.42
MultipleAddr_NonInclusive_Data,inv_83,Found,764621,30.58
MultipleAddr_NonInclusive_Data,inv_84,Found,690992,30.15
MultipleAddr_NonInclusive_Data,inv_85,Found,467775,24.48
MultipleAddr_NonInclusive_Data,inv_86,Found,762531,33.82
MultipleAddr_NonInclusive_Data,inv_87,Found,624376,26.61
MultipleAddr_NonInclusive_Data,inv_88,Found,279572,14.75
MultipleAddr_NonInclusive_Data,inv_89,Found,1606094,62.17
MultipleAddr_NonInclusive_Data,inv_90,Found,1142773,48.23
MultipleAddr_NonInclusive_Data,inv_91,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_92,Found,406865,20.05
MultipleAddr_NonInclusive_Data,inv_93,Found,1310088,55.35
MultipleAddr_NonInclusive_Data,inv_94,Found,257592,14.11
MultipleAddr_NonInclusive_Data,inv_95,Found,586101,26.01
MultipleAddr_NonInclusive_Data,inv_96,Found,285803,15.65
MultipleAddr_NonInclusive_Data,inv_97,Found,2448132,91.95
MultipleAddr_NonInclusive_Data,inv_98,Found,1141991,43.90
MultipleAddr_NonInclusive_Data,inv_99,Found,2991510,102.14
MultipleAddr_NonInclusive_Data,inv_100,Found,645035,27.29
MultipleAddr_NonInclusive_Data,inv_101,Found,785243,34.88
MultipleAddr_NonInclusive_Data,inv_102,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_103,Found,342185,18.13
MultipleAddr_NonInclusive_Data,inv_104,Found,491678,24.02
MultipleAddr_NonInclusive_Data,inv_105,Found,512021,21.53
MultipleAddr_NonInclusive_Data,inv_106,Found,382409,18.49
MultipleAddr_NonInclusive_Data,inv_107,Found,600041,26.63
MultipleAddr_NonInclusive_Data,inv_108,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_109,Found,544074,25.61
MultipleAddr_NonInclusive_Data,inv_110,Found,528893,27.47
MultipleAddr_NonInclusive_Data,inv_111,Found,1465142,57.81
MultipleAddr_NonInclusive_Data,inv_112,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_113,Found,1582456,59.47
MultipleAddr_NonInclusive_Data,inv_114,Found,799378,31.26
MultipleAddr_NonInclusive_Data,inv_115,Found,13054893,580.33
MultipleAddr_NonInclusive_Data,inv_116,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_117,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_118,Found,747268,31.92
MultipleAddr_NonInclusive_Data,inv_119,Found,286369,14.66
MultipleAddr_NonInclusive_Data,inv_120,Found,480831,21.24
MultipleAddr_NonInclusive_Data,inv_121,Found,394839,18.60
MultipleAddr_NonInclusive_Data,inv_122,Found,897885,41.06
MultipleAddr_NonInclusive_Data,inv_123,Found,656948,26.74
MultipleAddr_NonInclusive_Data,inv_124,Found,310083,16.41
MultipleAddr_NonInclusive_Data,inv_125,Found,3739046,169.13
MultipleAddr_NonInclusive_Data,inv_126,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_127,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_128,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_129,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_130,Found,1237777,46.29
MultipleAddr_NonInclusive_Data,inv_131,Found,643550,26.46
MultipleAddr_NonInclusive_Data,inv_132,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_133,Found,473007,25.13
MultipleAddr_NonInclusive_Data,inv_134,Found,396601,20.85
MultipleAddr_NonInclusive_Data,inv_135,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_136,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_137,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_138,Found,340688,16.34
MultipleAddr_NonInclusive_Data,inv_139,Found,1178172,45.51
MultipleAddr_NonInclusive_Data,inv_140,Found,320903,17.22
MultipleAddr_NonInclusive_Data,inv_141,Found,302941,15.73
MultipleAddr_NonInclusive_Data,inv_142,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_143,Found,447303,23.75
MultipleAddr_NonInclusive_Data,inv_144,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_145,Found,100125,10.58
MultipleAddr_NonInclusive_Data,inv_146,Found,156710,14.44
MultipleAddr_NonInclusive_Data,inv_147,Found,174261,13.95
MultipleAddr_NonInclusive_Data,inv_148,Found,839835,40.61
MultipleAddr_NonInclusive_Data,inv_149,Found,2136268,113.79
MultipleAddr_NonInclusive_Data,inv_150,Found,917209,44.92
MultipleAddr_NonInclusive_Data,inv_151,Found,1130909,45.82
MultipleAddr_NonInclusive_Data,inv_152,Found,3034219,122.08
MultipleAddr_NonInclusive_Data,inv_153,Found,11415635,615.32
MultipleAddr_NonInclusive_Data,inv_154,Found,9309404,436.93
MultipleAddr_NonInclusive_Data,inv_155,Found,1131729,54.30
MultipleAddr_NonInclusive_Data,inv_156,Found,982954,46.11
MultipleAddr_NonInclusive_Data,inv_157,Found,1396881,50.15
MultipleAddr_NonInclusive_Data,inv_158,Found,11039424,545.92
MultipleAddr_NonInclusive_Data,inv_159,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_160,Found,1713169,63.53
MultipleAddr_NonInclusive_Data,inv_161,Found,306257,20.30
MultipleAddr_NonInclusive_Data,inv_162,Found,328827,15.84
MultipleAddr_NonInclusive_Data,inv_163,Found,353958,17.03
MultipleAddr_NonInclusive_Data,inv_164,Found,377427,17.24
MultipleAddr_NonInclusive_Data,inv_165,Found,417712,18.11
MultipleAddr_NonInclusive_Data,inv_166,Found,1027965,44.36
MultipleAddr_NonInclusive_Data,inv_167,Found,583352,26.14
MultipleAddr_NonInclusive_Data,inv_168,LSExit,0,0
MultipleAddr_NonInclusive_Data,inv_169,Found,514747,23.89
MultipleAddr_NonInclusive_Data,inv_170,Found,333662,21.12
MultipleAddr_NonInclusive_Data,inv_171,Found,1389556,60.84
MultipleAddr_NonInclusive_Data,inv_172,Found,1022684,46.07
MultipleAddr_NonInclusive_Data,inv_173,Found,285218,14.54
MultipleAddr_NonInclusive_Data,inv_174,Found,332000,19.14
MultipleAddr_NonInclusive_Data,inv_175,Found,307366,15.97
MultipleAddr_NonInclusive_Data,inv_176,Found,285359,15.16
MultipleAddr_NonInclusive_Data,inv_177,Found,351394,20.67
MultipleAddr_NonInclusive_Data,inv_178,Found,311730,16.10
MultipleAddr_NonInclusive_Data,inv_179,Found,352896,17.66
MultipleAddr_NonInclusive_Data,inv_180,Found,951101,36.18
MultipleAddr_NonInclusive_Data,inv_181,Found,153264,10.86
MultipleAddr_NonInclusive_Data,inv_182,Found,299625,15.68
MultipleAddr_NonInclusive_Data,inv_183,Found,517045,23.55
MultipleAddr_NonInclusive_Data,inv_184,Found,263033,14.18
MultipleAddr_NonInclusive_Data,inv_185,Found,323471,16.80
MultipleAddr_NonInclusive_Data,inv_186,Found,321668,18.08
MultipleAddr_NonInclusive_Data,inv_187,Found,378835,18.75
MultipleAddr_NonInclusive_Data,inv_188,Found,252776,15.51
MultipleAddr_NonInclusive_Data,inv_189,Found,293478,19.55
MultipleAddr_NonInclusive_Data,inv_190,Found,243292,14.30
MultipleAddr_NonInclusive_Data,inv_191,Found,315028,16.24
MultipleAddr_NonInclusive_Data,inv_192,Found,343951,17.75
MultipleAddr_NonInclusive_Data,inv_193,Found,296218,15.42
MultipleAddr_NonInclusive_Data,inv_194,Found,615705,26.73
MultipleAddr_NonInclusive_Data,inv_195,Found,448113,21.85
MultipleAddr_NonInclusive_Data,inv_196,Found,340239,22.24
MultipleAddr_NonInclusive_Data,inv_197,Found,307311,15.82
MultipleAddr_NonInclusive_Data,inv_198,Found,248466,13.79
MultipleAddr_NonInclusive_Data,inv_199,Found,219183,12.91
MultipleAddr_NonInclusive_Data,inv_200,Found,307432,18.91
MultipleAddr_NonInclusive_Data,inv_201,Found,471122,25.45
MultipleAddr_NonInclusive_Data,inv_202,Found,409812,19.54
MultipleAddr_NonInclusive_Data,inv_203,Found,421021,19.19
MultipleAddr_NonInclusive_Data,inv_204,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_205,Found,272483,14.35
MultipleAddr_NonInclusive_Data,inv_206,Found,1007225,38.88
MultipleAddr_NonInclusive_Data,inv_207,Found,397691,19.14
MultipleAddr_NonInclusive_Data,inv_208,Found,377711,19.50
MultipleAddr_NonInclusive_Data,inv_209,Found,221123,12.91
MultipleAddr_NonInclusive_Data,inv_210,Found,2709257,111.30
MultipleAddr_NonInclusive_Data,inv_211,Found,272627,14.60
MultipleAddr_NonInclusive_Data,inv_212,Found,247791,17.42
MultipleAddr_NonInclusive_Data,inv_213,Found,378960,18.03
MultipleAddr_NonInclusive_Data,inv_214,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_215,Found,257025,14.98
MultipleAddr_NonInclusive_Data,inv_216,Found,379129,18.31
MultipleAddr_NonInclusive_Data,inv_217,Found,290446,15.02
MultipleAddr_NonInclusive_Data,inv_218,Found,475881,20.63
MultipleAddr_NonInclusive_Data,inv_219,Found,518784,26.56
MultipleAddr_NonInclusive_Data,inv_220,Found,291943,15.77
MultipleAddr_NonInclusive_Data,inv_221,Found,312416,15.88
MultipleAddr_NonInclusive_Data,inv_222,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_223,Interrupt,0,0
MultipleAddr_NonInclusive_Data,inv_224,Found,242187,14.53
