protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,2.43
SingleAddr_Inclusive_Data,inv_2,Found,608,2.49
SingleAddr_Inclusive_Data,inv_3,Found,515,2.52
SingleAddr_Inclusive_Data,inv_4,Found,385,2.52
SingleAddr_Inclusive_Data,inv_5,Found,1265,2.60
SingleAddr_Inclusive_Data,inv_6,Found,329,2.47
SingleAddr_Inclusive_Data,inv_7,Found,2238,2.71
SingleAddr_Inclusive_Data,inv_8,Found,579,2.60
SingleAddr_Inclusive_Data,inv_9,Found,462,2.52
SingleAddr_Inclusive_Data,inv_10,Found,355,2.47
SingleAddr_Inclusive_Data,inv_11,Found,249,2.45
SingleAddr_Inclusive_Data,inv_12,Found,478,2.54
SingleAddr_Inclusive_Data,inv_13,Found,1355,2.67
SingleAddr_Inclusive_Data,inv_14,Found,30,2.44
SingleAddr_Inclusive_Data,inv_15,Found,379,2.51
SingleAddr_Inclusive_Data,inv_16,Found,413,2.47
SingleAddr_Inclusive_Data,inv_17,Found,472,2.48
SingleAddr_Inclusive_Data,inv_18,Found,365,2.60
SingleAddr_Inclusive_Data,inv_19,Found,410,2.50
SingleAddr_Inclusive_Data,inv_20,Found,293,2.51
SingleAddr_Inclusive_Data,inv_21,Found,394,2.51
SingleAddr_Inclusive_Data,inv_22,Found,445,2.46
SingleAddr_Inclusive_Data,inv_23,Found,327,2.51
SingleAddr_Inclusive_Data,inv_24,Found,79369,19.28
SingleAddr_Inclusive_Data,inv_25,Found,396,2.49
SingleAddr_Inclusive_Data,inv_26,Found,512,2.49
SingleAddr_Inclusive_Data,inv_27,Found,6663,3.68
SingleAddr_Inclusive_Data,inv_28,Found,474,2.49
SingleAddr_Inclusive_Data,inv_29,Found,540,2.49
SingleAddr_Inclusive_Data,inv_30,Found,584,2.59
SingleAddr_Inclusive_Data,inv_31,Found,339,2.46
SingleAddr_Inclusive_Data,inv_32,Found,622,2.55
SingleAddr_Inclusive_Data,inv_33,Found,426,2.51
SingleAddr_Inclusive_Data,inv_34,Found,816,2.51
SingleAddr_Inclusive_Data,inv_35,Found,856,2.56
SingleAddr_Inclusive_Data,inv_36,Found,1137,2.55
SingleAddr_Inclusive_Data,inv_37,Found,653,2.50
SingleAddr_Inclusive_Data,inv_38,Found,1259,2.65
