protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,2.50
SingleAddr_Inclusive_Data,inv_2,Found,1987,2.57
SingleAddr_Inclusive_Data,inv_3,Found,594,2.44
SingleAddr_Inclusive_Data,inv_4,Found,578,2.47
SingleAddr_Inclusive_Data,inv_5,Found,597,2.54
SingleAddr_Inclusive_Data,inv_6,Found,1383,2.52
SingleAddr_Inclusive_Data,inv_7,Found,2491,2.61
SingleAddr_Inclusive_Data,inv_8,Found,180,2.41
SingleAddr_Inclusive_Data,inv_9,Found,827,2.53
SingleAddr_Inclusive_Data,inv_10,Found,130,2.46
SingleAddr_Inclusive_Data,inv_11,Found,876,2.50
SingleAddr_Inclusive_Data,inv_12,Found,234,2.43
SingleAddr_Inclusive_Data,inv_13,Found,4268,2.88
SingleAddr_Inclusive_Data,inv_14,Found,38,2.40
SingleAddr_Inclusive_Data,inv_15,Found,161,2.44
SingleAddr_Inclusive_Data,inv_16,Found,226,2.50
SingleAddr_Inclusive_Data,inv_17,Found,231,2.42
SingleAddr_Inclusive_Data,inv_18,Found,5718,3.04
SingleAddr_Inclusive_Data,inv_19,Found,123,2.41
SingleAddr_Inclusive_Data,inv_20,Found,177,2.43
SingleAddr_Inclusive_Data,inv_21,Found,193,2.46
SingleAddr_Inclusive_Data,inv_22,Found,254,2.45
SingleAddr_Inclusive_Data,inv_23,Found,352,2.46
SingleAddr_Inclusive_Data,inv_24,Found,5700,3.01
SingleAddr_Inclusive_Data,inv_25,Found,359,2.44
SingleAddr_Inclusive_Data,inv_26,Found,10629,3.81
SingleAddr_Inclusive_Data,inv_27,Found,268,2.46
SingleAddr_Inclusive_Data,inv_28,Found,397,2.50
SingleAddr_Inclusive_Data,inv_29,Found,317,2.42
SingleAddr_Inclusive_Data,inv_30,Found,663,2.45
SingleAddr_Inclusive_Data,inv_31,Found,364,2.42
SingleAddr_Inclusive_Data,inv_32,Found,393,2.44
SingleAddr_Inclusive_Data,inv_33,Found,430,2.58
SingleAddr_Inclusive_Data,inv_34,Found,488,2.44
SingleAddr_Inclusive_Data,inv_35,Found,305,2.41
SingleAddr_Inclusive_Data,inv_36,Found,314,2.42
SingleAddr_Inclusive_Data,inv_37,Found,321,2.44
SingleAddr_Inclusive_Data,inv_38,Found,339,2.49
