protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Data,inv_1,Found,1,0.24
SingleAddr_Inclusive_Data,inv_2,MemoryOut,0,0
SingleAddr_Inclusive_Data,inv_3,MemoryOut,0,0
SingleAddr_Inclusive_Data,inv_4,MemoryOut,0,0
SingleAddr_Inclusive_Data,inv_5,MemoryOut,0,0
SingleAddr_Inclusive_Data,inv_6,Found,1993,2.49
SingleAddr_Inclusive_Data,inv_7,Found,45325,3.14
SingleAddr_Inclusive_Data,inv_8,Found,1015,2.73
SingleAddr_Inclusive_Data,inv_9,Found,861,2.69
SingleAddr_Inclusive_Data,inv_10,Found,290,2.66
SingleAddr_Inclusive_Data,inv_11,Found,1425,2.78
SingleAddr_Inclusive_Data,inv_12,Found,1682,2.68
SingleAddr_Inclusive_Data,inv_13,Found,34844,4.81
SingleAddr_Inclusive_Data,inv_14,Found,42,2.79
SingleAddr_Inclusive_Data,inv_15,Found,531,2.64
SingleAddr_Inclusive_Data,inv_16,Found,1317,2.68
SingleAddr_Inclusive_Data,inv_17,Found,1311,2.74
SingleAddr_Inclusive_Data,inv_18,Found,6946,2.68
SingleAddr_Inclusive_Data,inv_19,Found,502,2.64
SingleAddr_Inclusive_Data,inv_20,Found,1287,2.61
SingleAddr_Inclusive_Data,inv_21,Found,1248,2.56
SingleAddr_Inclusive_Data,inv_22,Found,6615,2.72
SingleAddr_Inclusive_Data,inv_23,Found,3697,2.71
SingleAddr_Inclusive_Data,inv_24,Found,11691,2.69
SingleAddr_Inclusive_Data,inv_25,Found,11685,2.64
SingleAddr_Inclusive_Data,inv_26,Found,49876,3.60
SingleAddr_Inclusive_Data,inv_27,Found,11956,3.55
SingleAddr_Inclusive_Data,inv_28,Found,32118,3.12
SingleAddr_Inclusive_Data,inv_29,Found,32112,3.60
SingleAddr_Inclusive_Data,inv_30,Found,118198,6.45
SingleAddr_Inclusive_Data,inv_31,Found,11617,2.98
SingleAddr_Inclusive_Data,inv_32,Found,31408,3.05
SingleAddr_Inclusive_Data,inv_33,Found,31402,3.00
SingleAddr_Inclusive_Data,inv_34,Found,116293,5.25
SingleAddr_Inclusive_Data,inv_35,Found,49586,3.33
SingleAddr_Inclusive_Data,inv_36,Found,116220,4.93
SingleAddr_Inclusive_Data,inv_37,Found,116214,4.73
SingleAddr_Inclusive_Data,inv_38,Found,360644,8.66
