protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,2.44
SingleAddr_Inclusive_Nodata,inv_2,Found,25044,5.90
SingleAddr_Inclusive_Nodata,inv_3,Found,54944,10.66
SingleAddr_Inclusive_Nodata,inv_4,Found,54348,11.37
SingleAddr_Inclusive_Nodata,inv_5,Found,339,2.53
SingleAddr_Inclusive_Nodata,inv_6,Found,2119,2.68
SingleAddr_Inclusive_Nodata,inv_7,Found,44242,8.78
SingleAddr_Inclusive_Nodata,inv_8,Found,41956,8.35
SingleAddr_Inclusive_Nodata,inv_9,Found,11900,3.96
SingleAddr_Inclusive_Nodata,inv_10,Found,8473,3.45
SingleAddr_Inclusive_Nodata,inv_11,Found,35628,8.39
SingleAddr_Inclusive_Nodata,inv_12,Found,171,2.53
SingleAddr_Inclusive_Nodata,inv_13,Found,3125,2.75
SingleAddr_Inclusive_Nodata,inv_14,Found,86,2.47
SingleAddr_Inclusive_Nodata,inv_15,Found,135,2.47
SingleAddr_Inclusive_Nodata,inv_16,Found,119,2.45
SingleAddr_Inclusive_Nodata,inv_17,Found,168,2.44
SingleAddr_Inclusive_Nodata,inv_18,Found,212,2.45
SingleAddr_Inclusive_Nodata,inv_19,Found,137,2.44
SingleAddr_Inclusive_Nodata,inv_20,Found,158,2.44
SingleAddr_Inclusive_Nodata,inv_21,Found,69,2.43
SingleAddr_Inclusive_Nodata,inv_22,Found,1051,2.55
SingleAddr_Inclusive_Nodata,inv_23,Found,23712,5.72
SingleAddr_Inclusive_Nodata,inv_24,Found,693028,134.61
SingleAddr_Inclusive_Nodata,inv_25,Found,113075,21.23
SingleAddr_Inclusive_Nodata,inv_26,Found,131305,27.50
SingleAddr_Inclusive_Nodata,inv_27,Found,23225,5.74
SingleAddr_Inclusive_Nodata,inv_28,Found,457,2.50
SingleAddr_Inclusive_Nodata,inv_29,Found,23612,5.73
SingleAddr_Inclusive_Nodata,inv_30,Found,1292,2.58
SingleAddr_Inclusive_Nodata,inv_31,Found,273,2.43
SingleAddr_Inclusive_Nodata,inv_32,Found,24124,5.84
SingleAddr_Inclusive_Nodata,inv_33,Found,970,2.55
SingleAddr_Inclusive_Nodata,inv_34,Found,509,2.51
SingleAddr_Inclusive_Nodata,inv_35,Found,289,2.50
SingleAddr_Inclusive_Nodata,inv_36,Found,1236,2.64
SingleAddr_Inclusive_Nodata,inv_37,Found,1987313,387.99
SingleAddr_Inclusive_Nodata,inv_38,Found,2374,2.95
