protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,2.42
SingleAddr_Inclusive_Nodata,inv_2,Found,313,2.53
SingleAddr_Inclusive_Nodata,inv_3,Found,482,2.49
SingleAddr_Inclusive_Nodata,inv_4,Found,298,2.45
SingleAddr_Inclusive_Nodata,inv_5,Found,791,2.47
SingleAddr_Inclusive_Nodata,inv_6,Found,345,2.46
SingleAddr_Inclusive_Nodata,inv_7,Found,1621,2.62
SingleAddr_Inclusive_Nodata,inv_8,Found,141,2.44
SingleAddr_Inclusive_Nodata,inv_9,Found,1053,2.57
SingleAddr_Inclusive_Nodata,inv_10,Found,99,2.44
SingleAddr_Inclusive_Nodata,inv_11,Found,1100,2.48
SingleAddr_Inclusive_Nodata,inv_12,Found,198,2.50
SingleAddr_Inclusive_Nodata,inv_13,Found,3238,2.77
SingleAddr_Inclusive_Nodata,inv_14,Found,38,2.44
SingleAddr_Inclusive_Nodata,inv_15,Found,73,2.43
SingleAddr_Inclusive_Nodata,inv_16,Found,105,2.43
SingleAddr_Inclusive_Nodata,inv_17,Found,275,2.49
SingleAddr_Inclusive_Nodata,inv_18,Found,178,2.49
SingleAddr_Inclusive_Nodata,inv_19,Found,100,2.49
SingleAddr_Inclusive_Nodata,inv_20,Found,149,2.42
SingleAddr_Inclusive_Nodata,inv_21,Found,144,2.48
SingleAddr_Inclusive_Nodata,inv_22,Found,179,2.43
SingleAddr_Inclusive_Nodata,inv_23,Found,133,2.43
SingleAddr_Inclusive_Nodata,inv_24,Found,200,2.47
SingleAddr_Inclusive_Nodata,inv_25,Found,20423,4.08
SingleAddr_Inclusive_Nodata,inv_26,Found,251,2.51
SingleAddr_Inclusive_Nodata,inv_27,Found,171,2.43
SingleAddr_Inclusive_Nodata,inv_28,Found,598,2.49
SingleAddr_Inclusive_Nodata,inv_29,Found,227520,28.42
SingleAddr_Inclusive_Nodata,inv_30,Found,281,2.45
SingleAddr_Inclusive_Nodata,inv_31,Found,166,2.49
SingleAddr_Inclusive_Nodata,inv_32,Found,254,2.44
SingleAddr_Inclusive_Nodata,inv_33,Found,165886,23.18
SingleAddr_Inclusive_Nodata,inv_34,Found,288,2.53
SingleAddr_Inclusive_Nodata,inv_35,Found,310,2.46
SingleAddr_Inclusive_Nodata,inv_36,Found,18720,4.05
SingleAddr_Inclusive_Nodata,inv_37,Found,255962,38.61
SingleAddr_Inclusive_Nodata,inv_38,Found,327,2.45
