protocol_model,inv_no,result,states,time
SingleAddr_Inclusive_Nodata,inv_1,Found,1,0.24
SingleAddr_Inclusive_Nodata,inv_2,MemoryOut,0,0
SingleAddr_Inclusive_Nodata,inv_3,MemoryOut,0,0
SingleAddr_Inclusive_Nodata,inv_4,MemoryOut,0,0
SingleAddr_Inclusive_Nodata,inv_5,MemoryOut,0,0
SingleAddr_Inclusive_Nodata,inv_6,Found,1238,2.68
SingleAddr_Inclusive_Nodata,inv_7,Found,1362,2.57
SingleAddr_Inclusive_Nodata,inv_8,Found,185,2.55
SingleAddr_Inclusive_Nodata,inv_9,Found,83,2.52
SingleAddr_Inclusive_Nodata,inv_10,Found,6,2.51
SingleAddr_Inclusive_Nodata,inv_11,Found,189,2.53
SingleAddr_Inclusive_Nodata,inv_12,Found,87,2.53
SingleAddr_Inclusive_Nodata,inv_13,Found,191,2.54
SingleAddr_Inclusive_Nodata,inv_14,Found,4,2.54
SingleAddr_Inclusive_Nodata,inv_15,Found,1283,2.52
SingleAddr_Inclusive_Nodata,inv_16,Found,3404,2.56
SingleAddr_Inclusive_Nodata,inv_17,Found,3399,2.54
SingleAddr_Inclusive_Nodata,inv_18,Found,62963,2.94
SingleAddr_Inclusive_Nodata,inv_19,Found,123,2.53
SingleAddr_Inclusive_Nodata,inv_20,Found,698,2.54
SingleAddr_Inclusive_Nodata,inv_21,Found,693,2.55
SingleAddr_Inclusive_Nodata,inv_22,Found,33262,2.75
SingleAddr_Inclusive_Nodata,inv_23,Found,12739,2.59
SingleAddr_Inclusive_Nodata,inv_24,Found,19696,2.67
SingleAddr_Inclusive_Nodata,inv_25,Found,32900,2.75
SingleAddr_Inclusive_Nodata,inv_26,Found,62968,2.99
SingleAddr_Inclusive_Nodata,inv_27,Found,15330,2.61
SingleAddr_Inclusive_Nodata,inv_28,Found,556991,6.84
SingleAddr_Inclusive_Nodata,inv_29,Found,556986,6.83
SingleAddr_Inclusive_Nodata,inv_30,Found,2039973,19.91
SingleAddr_Inclusive_Nodata,inv_31,Found,18918,2.66
SingleAddr_Inclusive_Nodata,inv_32,Found,691375,7.91
SingleAddr_Inclusive_Nodata,inv_33,Found,253899,4.45
SingleAddr_Inclusive_Nodata,inv_34,Found,4015187,38.87
SingleAddr_Inclusive_Nodata,inv_35,Found,33267,2.72
SingleAddr_Inclusive_Nodata,inv_36,Found,4287415,41.16
SingleAddr_Inclusive_Nodata,inv_37,Found,1072048,11.26
SingleAddr_Inclusive_Nodata,inv_38,Found,9624329,94.00
