protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Data,inv_1,Found,1,2.52
SingleAddr_NonInclusive_Data,inv_2,Found,1781,2.57
SingleAddr_NonInclusive_Data,inv_3,Found,1191,2.53
SingleAddr_NonInclusive_Data,inv_4,Found,1475,2.54
SingleAddr_NonInclusive_Data,inv_5,Found,2287,2.66
SingleAddr_NonInclusive_Data,inv_6,Found,2380,2.67
SingleAddr_NonInclusive_Data,inv_7,Found,2046,2.64
SingleAddr_NonInclusive_Data,inv_8,Found,31573,6.08
SingleAddr_NonInclusive_Data,inv_9,Found,58166,9.10
SingleAddr_NonInclusive_Data,inv_10,Found,166117,23.84
SingleAddr_NonInclusive_Data,inv_11,Found,1499,2.59
SingleAddr_NonInclusive_Data,inv_12,Found,2377,2.66
SingleAddr_NonInclusive_Data,inv_13,Found,245687,31.74
SingleAddr_NonInclusive_Data,inv_14,Found,19858,5.01
SingleAddr_NonInclusive_Data,inv_15,Found,230854,31.60
SingleAddr_NonInclusive_Data,inv_16,Found,3622,2.77
SingleAddr_NonInclusive_Data,inv_17,Found,148272,20.33
SingleAddr_NonInclusive_Data,inv_18,Found,238929,35.28
SingleAddr_NonInclusive_Data,inv_19,Found,915400,121.93
SingleAddr_NonInclusive_Data,inv_20,Found,2197,2.91
SingleAddr_NonInclusive_Data,inv_21,Found,459,2.54
SingleAddr_NonInclusive_Data,inv_22,Found,1094,2.54
SingleAddr_NonInclusive_Data,inv_23,Found,1201,2.55
SingleAddr_NonInclusive_Data,inv_24,Found,4298,2.81
SingleAddr_NonInclusive_Data,inv_25,Found,3671,2.73
SingleAddr_NonInclusive_Data,inv_26,Found,46964,8.98
SingleAddr_NonInclusive_Data,inv_27,Found,8261,3.32
SingleAddr_NonInclusive_Data,inv_28,Found,132597,18.73
SingleAddr_NonInclusive_Data,inv_29,Found,24280,5.11
SingleAddr_NonInclusive_Data,inv_30,Found,32276,6.21
SingleAddr_NonInclusive_Data,inv_31,Found,22562,4.83
SingleAddr_NonInclusive_Data,inv_32,Found,126985,18.78
SingleAddr_NonInclusive_Data,inv_33,Found,15598,4.04
SingleAddr_NonInclusive_Data,inv_34,Found,140768,19.95
SingleAddr_NonInclusive_Data,inv_35,Found,63885,11.99
SingleAddr_NonInclusive_Data,inv_36,Found,2355513,330.51
SingleAddr_NonInclusive_Data,inv_37,Found,794,2.48
SingleAddr_NonInclusive_Data,inv_38,Found,1039,2.62
SingleAddr_NonInclusive_Data,inv_39,Found,583,2.45
SingleAddr_NonInclusive_Data,inv_40,Found,1100,2.67
SingleAddr_NonInclusive_Data,inv_41,LSExit,0,0
SingleAddr_NonInclusive_Data,inv_42,Found,25006,5.30
SingleAddr_NonInclusive_Data,inv_43,Found,470,2.44
SingleAddr_NonInclusive_Data,inv_44,Found,6224,3.02
SingleAddr_NonInclusive_Data,inv_45,Found,9165,3.34
SingleAddr_NonInclusive_Data,inv_46,Found,15374,4.05
SingleAddr_NonInclusive_Data,inv_47,Found,1743,2.64
SingleAddr_NonInclusive_Data,inv_48,Found,14223,3.87
SingleAddr_NonInclusive_Data,inv_49,Found,19864,6.56
SingleAddr_NonInclusive_Data,inv_50,Found,120238,18.39
SingleAddr_NonInclusive_Data,inv_51,Found,892,2.50
SingleAddr_NonInclusive_Data,inv_52,Found,17516,4.28
SingleAddr_NonInclusive_Data,inv_53,Found,34256,6.21
SingleAddr_NonInclusive_Data,inv_54,Found,116818,16.95
SingleAddr_NonInclusive_Data,inv_55,Found,4195,2.81
SingleAddr_NonInclusive_Data,inv_56,Found,118338,16.92
SingleAddr_NonInclusive_Data,inv_57,Found,118533,17.47
SingleAddr_NonInclusive_Data,inv_58,MemoryOut,0,0
SingleAddr_NonInclusive_Data,inv_59,Found,1600,2.69
SingleAddr_NonInclusive_Data,inv_60,Found,4223,3.15
SingleAddr_NonInclusive_Data,inv_61,Found,2700,2.71
SingleAddr_NonInclusive_Data,inv_62,Found,16148,4.69
SingleAddr_NonInclusive_Data,inv_63,Found,4612,2.85
SingleAddr_NonInclusive_Data,inv_64,Found,8392,3.31
SingleAddr_NonInclusive_Data,inv_65,Found,8330,3.23
SingleAddr_NonInclusive_Data,inv_66,Found,28753,5.56
SingleAddr_NonInclusive_Data,inv_67,Found,7257,3.16
SingleAddr_NonInclusive_Data,inv_68,Found,10144,3.45
SingleAddr_NonInclusive_Data,inv_69,Found,17332,4.15
SingleAddr_NonInclusive_Data,inv_70,Found,63600,9.76
SingleAddr_NonInclusive_Data,inv_71,Found,15157,3.98
SingleAddr_NonInclusive_Data,inv_72,Found,644445,87.57
SingleAddr_NonInclusive_Data,inv_73,Found,61176,9.86
SingleAddr_NonInclusive_Data,inv_74,Found,241424,33.78
SingleAddr_NonInclusive_Data,inv_75,Found,1252,2.53
SingleAddr_NonInclusive_Data,inv_76,Found,1057,2.51
SingleAddr_NonInclusive_Data,inv_77,Found,362,2.49
SingleAddr_NonInclusive_Data,inv_78,Found,1301,2.65
SingleAddr_NonInclusive_Data,inv_79,Found,1204,2.62
SingleAddr_NonInclusive_Data,inv_80,Found,20984,4.55
SingleAddr_NonInclusive_Data,inv_81,Found,8970,3.38
SingleAddr_NonInclusive_Data,inv_82,Found,56623,9.08
SingleAddr_NonInclusive_Data,inv_83,Found,51608,8.89
SingleAddr_NonInclusive_Data,inv_84,Found,541870,75.12
SingleAddr_NonInclusive_Data,inv_85,Found,34283,8.67
SingleAddr_NonInclusive_Data,inv_86,Found,587280,84.75
SingleAddr_NonInclusive_Data,inv_87,Found,588696,77.84
SingleAddr_NonInclusive_Data,inv_88,Found,904422,126.09
SingleAddr_NonInclusive_Data,inv_89,Found,32501,6.14
SingleAddr_NonInclusive_Data,inv_90,Found,526753,71.02
SingleAddr_NonInclusive_Data,inv_91,Found,913747,124.96
