protocol_model,inv_no,result,states,time
SingleAddr_NonInclusive_Data,inv_1,Found,1,0.24
SingleAddr_NonInclusive_Data,inv_2,Found,225,0.25
SingleAddr_NonInclusive_Data,inv_3,Found,1133,0.25
SingleAddr_NonInclusive_Data,inv_4,Found,3076,0.27
SingleAddr_NonInclusive_Data,inv_5,Found,702,0.25
SingleAddr_NonInclusive_Data,inv_6,Found,4441,2.73
SingleAddr_NonInclusive_Data,inv_7,Found,5259,2.62
SingleAddr_NonInclusive_Data,inv_8,Found,303186,9.34
SingleAddr_NonInclusive_Data,inv_9,Found,303148,6.80
SingleAddr_NonInclusive_Data,inv_10,Found,1140941,18.89
SingleAddr_NonInclusive_Data,inv_11,Found,3790,2.87
SingleAddr_NonInclusive_Data,inv_12,Found,5065,2.86
SingleAddr_NonInclusive_Data,inv_13,Found,295249,6.71
SingleAddr_NonInclusive_Data,inv_14,Found,295211,6.53
SingleAddr_NonInclusive_Data,inv_15,Found,1110236,17.83
SingleAddr_NonInclusive_Data,inv_16,Found,37414,3.40
SingleAddr_NonInclusive_Data,inv_17,Found,1119648,20.62
SingleAddr_NonInclusive_Data,inv_18,Found,1119610,20.77
SingleAddr_NonInclusive_Data,inv_19,Found,3991898,60.32
SingleAddr_NonInclusive_Data,inv_20,Found,2928,2.56
SingleAddr_NonInclusive_Data,inv_21,Found,920,2.44
SingleAddr_NonInclusive_Data,inv_22,Found,2895,2.48
SingleAddr_NonInclusive_Data,inv_23,Found,2877,2.47
SingleAddr_NonInclusive_Data,inv_24,Found,20728,2.73
SingleAddr_NonInclusive_Data,inv_25,Found,69652,3.27
SingleAddr_NonInclusive_Data,inv_26,Found,191627,6.94
SingleAddr_NonInclusive_Data,inv_27,Found,191609,5.09
SingleAddr_NonInclusive_Data,inv_28,Found,734674,12.99
SingleAddr_NonInclusive_Data,inv_29,Found,67732,3.34
SingleAddr_NonInclusive_Data,inv_30,Found,186561,5.09
SingleAddr_NonInclusive_Data,inv_31,Found,186543,5.22
SingleAddr_NonInclusive_Data,inv_32,Found,715126,14.99
SingleAddr_NonInclusive_Data,inv_33,Found,297082,7.79
SingleAddr_NonInclusive_Data,inv_34,Found,720689,15.34
SingleAddr_NonInclusive_Data,inv_35,Found,720671,14.58
SingleAddr_NonInclusive_Data,inv_36,Found,2647823,41.50
SingleAddr_NonInclusive_Data,inv_37,Found,2583,2.68
SingleAddr_NonInclusive_Data,inv_38,Found,2401,2.63
SingleAddr_NonInclusive_Data,inv_39,Found,779,2.64
SingleAddr_NonInclusive_Data,inv_40,Found,4474,2.65
SingleAddr_NonInclusive_Data,inv_41,Found,4818,2.79
SingleAddr_NonInclusive_Data,inv_42,Found,167577,5.10
SingleAddr_NonInclusive_Data,inv_43,Found,873,2.60
SingleAddr_NonInclusive_Data,inv_44,Found,68431,3.44
SingleAddr_NonInclusive_Data,inv_45,Found,68393,4.52
SingleAddr_NonInclusive_Data,inv_46,Found,298794,6.69
SingleAddr_NonInclusive_Data,inv_47,Found,2819,2.58
SingleAddr_NonInclusive_Data,inv_48,Found,192025,7.73
SingleAddr_NonInclusive_Data,inv_49,Found,191987,7.82
SingleAddr_NonInclusive_Data,inv_50,Found,736787,15.06
SingleAddr_NonInclusive_Data,inv_51,Found,2721,2.60
SingleAddr_NonInclusive_Data,inv_52,Found,187778,6.41
SingleAddr_NonInclusive_Data,inv_53,Found,187740,5.10
SingleAddr_NonInclusive_Data,inv_54,Found,721367,12.43
SingleAddr_NonInclusive_Data,inv_55,Found,19594,2.70
SingleAddr_NonInclusive_Data,inv_56,Found,721033,14.97
SingleAddr_NonInclusive_Data,inv_57,Found,720995,12.69
SingleAddr_NonInclusive_Data,inv_58,Found,2649732,40.75
SingleAddr_NonInclusive_Data,inv_59,Found,10092,2.60
SingleAddr_NonInclusive_Data,inv_60,Found,38163,4.43
SingleAddr_NonInclusive_Data,inv_61,Found,38145,4.10
SingleAddr_NonInclusive_Data,inv_62,Found,188607,6.32
SingleAddr_NonInclusive_Data,inv_63,Found,38988,3.14
SingleAddr_NonInclusive_Data,inv_64,Found,118118,4.05
SingleAddr_NonInclusive_Data,inv_65,Found,118100,4.17
SingleAddr_NonInclusive_Data,inv_66,Found,474078,10.38
SingleAddr_NonInclusive_Data,inv_67,Found,37978,3.58
SingleAddr_NonInclusive_Data,inv_68,Found,115414,5.27
SingleAddr_NonInclusive_Data,inv_69,Found,115396,4.10
SingleAddr_NonInclusive_Data,inv_70,Found,464055,9.10
SingleAddr_NonInclusive_Data,inv_71,Found,187686,6.43
SingleAddr_NonInclusive_Data,inv_72,Found,463852,9.18
SingleAddr_NonInclusive_Data,inv_73,Found,463834,10.14
SingleAddr_NonInclusive_Data,inv_74,Found,1732505,27.87
SingleAddr_NonInclusive_Data,inv_75,Found,2061,2.61
SingleAddr_NonInclusive_Data,inv_76,Found,1614,2.76
SingleAddr_NonInclusive_Data,inv_77,Found,546,2.58
SingleAddr_NonInclusive_Data,inv_78,Found,2987,2.64
SingleAddr_NonInclusive_Data,inv_79,Found,3829,2.84
SingleAddr_NonInclusive_Data,inv_80,Found,122224,6.18
SingleAddr_NonInclusive_Data,inv_81,Found,25271,2.84
SingleAddr_NonInclusive_Data,inv_82,Found,189812,4.98
SingleAddr_NonInclusive_Data,inv_83,Found,189442,6.52
SingleAddr_NonInclusive_Data,inv_84,Found,728140,12.59
SingleAddr_NonInclusive_Data,inv_85,Found,190845,5.03
SingleAddr_NonInclusive_Data,inv_86,Found,1754724,27.28
SingleAddr_NonInclusive_Data,inv_87,Found,1754654,27.05
SingleAddr_NonInclusive_Data,inv_88,Found,6016696,91.09
SingleAddr_NonInclusive_Data,inv_89,Found,183971,4.90
SingleAddr_NonInclusive_Data,inv_90,Found,1686033,26.30
SingleAddr_NonInclusive_Data,inv_91,Found,1685963,26.17
SingleAddr_NonInclusive_Data,inv_92,Found,5763154,89.69
SingleAddr_NonInclusive_Data,inv_93,Found,703952,13.26
SingleAddr_NonInclusive_Data,inv_94,Found,5762368,88.61
SingleAddr_NonInclusive_Data,inv_95,Found,5762298,88.81
SingleAddr_NonInclusive_Data,inv_96,MemoryOut,0,0
SingleAddr_NonInclusive_Data,inv_97,Found,38317,2.94
SingleAddr_NonInclusive_Data,inv_98,Found,116667,5.35
SingleAddr_NonInclusive_Data,inv_99,Found,116431,4.17
SingleAddr_NonInclusive_Data,inv_100,Found,468397,10.18
SingleAddr_NonInclusive_Data,inv_101,Found,470827,11.19
SingleAddr_NonInclusive_Data,inv_102,Found,1135369,20.54
SingleAddr_NonInclusive_Data,inv_103,Found,1135334,18.85
SingleAddr_NonInclusive_Data,inv_104,Found,4043079,64.30
SingleAddr_NonInclusive_Data,inv_105,Found,453676,9.76
SingleAddr_NonInclusive_Data,inv_106,Found,1091970,20.06
SingleAddr_NonInclusive_Data,inv_107,Found,1091935,20.45
SingleAddr_NonInclusive_Data,inv_108,Found,3876577,62.94
SingleAddr_NonInclusive_Data,inv_109,Found,1685833,26.97
SingleAddr_NonInclusive_Data,inv_110,Found,3876141,63.08
SingleAddr_NonInclusive_Data,inv_111,Found,3876106,60.47
SingleAddr_NonInclusive_Data,inv_112,Found,12440566,196.43
SingleAddr_NonInclusive_Data,inv_113,Found,37309,3.33
SingleAddr_NonInclusive_Data,inv_114,Found,454131,11.11
SingleAddr_NonInclusive_Data,inv_115,Found,454114,9.02
SingleAddr_NonInclusive_Data,inv_116,Found,1687918,27.09
SingleAddr_NonInclusive_Data,inv_117,Found,117404,4.38
SingleAddr_NonInclusive_Data,inv_118,Found,1135378,21.43
SingleAddr_NonInclusive_Data,inv_119,Found,1135354,20.74
SingleAddr_NonInclusive_Data,inv_120,Found,4043254,62.17
SingleAddr_NonInclusive_Data,inv_121,Found,113152,3.95
SingleAddr_NonInclusive_Data,inv_122,Found,1091979,20.29
SingleAddr_NonInclusive_Data,inv_123,Found,1091955,20.36
SingleAddr_NonInclusive_Data,inv_124,Found,3876752,61.40
SingleAddr_NonInclusive_Data,inv_125,Found,453636,9.11
SingleAddr_NonInclusive_Data,inv_126,Found,3876150,62.44
SingleAddr_NonInclusive_Data,inv_127,Found,3876126,61.16
SingleAddr_NonInclusive_Data,inv_128,Found,12440741,194.78
SingleAddr_NonInclusive_Data,inv_129,Found,113293,4.47
SingleAddr_NonInclusive_Data,inv_130,Found,291385,6.77
SingleAddr_NonInclusive_Data,inv_131,Found,291376,6.65
SingleAddr_NonInclusive_Data,inv_132,Found,1093081,19.27
SingleAddr_NonInclusive_Data,inv_133,Found,301942,7.19
SingleAddr_NonInclusive_Data,inv_134,Found,731309,14.72
SingleAddr_NonInclusive_Data,inv_135,Found,731295,14.77
SingleAddr_NonInclusive_Data,inv_136,Found,2682379,43.55
SingleAddr_NonInclusive_Data,inv_137,Found,291073,6.63
SingleAddr_NonInclusive_Data,inv_138,Found,704044,12.60
SingleAddr_NonInclusive_Data,inv_139,Found,704030,12.80
SingleAddr_NonInclusive_Data,inv_140,Found,2574728,41.93
SingleAddr_NonInclusive_Data,inv_141,Found,1091853,18.62
SingleAddr_NonInclusive_Data,inv_142,Found,2574412,40.89
SingleAddr_NonInclusive_Data,inv_143,Found,2574398,39.33
SingleAddr_NonInclusive_Data,inv_144,Found,8489886,132.23
SingleAddr_NonInclusive_Data,inv_145,Found,2627,2.54
SingleAddr_NonInclusive_Data,inv_146,Found,2464,2.47
SingleAddr_NonInclusive_Data,inv_147,Found,2154,2.59
SingleAddr_NonInclusive_Data,inv_148,Found,1742,2.64
SingleAddr_NonInclusive_Data,inv_149,Found,1458,2.61
SingleAddr_NonInclusive_Data,inv_150,Found,1369,2.58
SingleAddr_NonInclusive_Data,inv_151,Found,449,2.60
SingleAddr_NonInclusive_Data,inv_152,Found,2497,2.74
SingleAddr_NonInclusive_Data,inv_153,Found,2649,2.61
SingleAddr_NonInclusive_Data,inv_154,Found,105177,3.91
SingleAddr_NonInclusive_Data,inv_155,Found,1203,2.61
SingleAddr_NonInclusive_Data,inv_156,Found,984,2.49
SingleAddr_NonInclusive_Data,inv_157,Found,292,2.55
SingleAddr_NonInclusive_Data,inv_158,Found,1801,2.59
SingleAddr_NonInclusive_Data,inv_159,Found,2193,2.69
SingleAddr_NonInclusive_Data,inv_160,Found,78823,3.66
SingleAddr_NonInclusive_Data,inv_161,Found,42,2.52
SingleAddr_NonInclusive_Data,inv_162,Found,2898,2.58
SingleAddr_NonInclusive_Data,inv_163,Found,2884,2.69
SingleAddr_NonInclusive_Data,inv_164,Found,20799,2.78
SingleAddr_NonInclusive_Data,inv_165,Found,2833,2.56
SingleAddr_NonInclusive_Data,inv_166,Found,191630,6.22
SingleAddr_NonInclusive_Data,inv_167,Found,191616,5.04
SingleAddr_NonInclusive_Data,inv_168,Found,734744,12.60
SingleAddr_NonInclusive_Data,inv_169,Found,2746,2.56
SingleAddr_NonInclusive_Data,inv_170,Found,186564,4.94
SingleAddr_NonInclusive_Data,inv_171,Found,186550,5.10
SingleAddr_NonInclusive_Data,inv_172,Found,715196,15.16
SingleAddr_NonInclusive_Data,inv_173,Found,19876,2.98
SingleAddr_NonInclusive_Data,inv_174,Found,720692,13.51
SingleAddr_NonInclusive_Data,inv_175,Found,720678,16.38
SingleAddr_NonInclusive_Data,inv_176,Found,2647893,43.33
SingleAddr_NonInclusive_Data,inv_177,Found,542,2.55
SingleAddr_NonInclusive_Data,inv_178,Found,1605,2.62
SingleAddr_NonInclusive_Data,inv_179,Found,1598,2.57
SingleAddr_NonInclusive_Data,inv_180,Found,10534,2.69
SingleAddr_NonInclusive_Data,inv_181,Found,38908,2.99
SingleAddr_NonInclusive_Data,inv_182,Found,117890,5.24
SingleAddr_NonInclusive_Data,inv_183,Found,117883,4.09
SingleAddr_NonInclusive_Data,inv_184,Found,472882,11.48
SingleAddr_NonInclusive_Data,inv_185,Found,37778,3.13
SingleAddr_NonInclusive_Data,inv_186,Found,114722,4.16
SingleAddr_NonInclusive_Data,inv_187,Found,114715,4.05
SingleAddr_NonInclusive_Data,inv_188,Found,460456,11.46
SingleAddr_NonInclusive_Data,inv_189,Found,187615,7.38
SingleAddr_NonInclusive_Data,inv_190,Found,463663,9.04
SingleAddr_NonInclusive_Data,inv_191,Found,463656,8.85
SingleAddr_NonInclusive_Data,inv_192,Found,1731424,27.38
SingleAddr_NonInclusive_Data,inv_193,Found,511,2.53
SingleAddr_NonInclusive_Data,inv_194,Found,38166,3.01
SingleAddr_NonInclusive_Data,inv_195,Found,38152,3.02
SingleAddr_NonInclusive_Data,inv_196,Found,188677,4.96
SingleAddr_NonInclusive_Data,inv_197,Found,1570,2.52
SingleAddr_NonInclusive_Data,inv_198,Found,118121,4.00
SingleAddr_NonInclusive_Data,inv_199,Found,118107,4.02
SingleAddr_NonInclusive_Data,inv_200,Found,474148,9.17
SingleAddr_NonInclusive_Data,inv_201,Found,1522,2.55
SingleAddr_NonInclusive_Data,inv_202,Found,115417,5.25
SingleAddr_NonInclusive_Data,inv_203,Found,115403,4.32
SingleAddr_NonInclusive_Data,inv_204,Found,464125,12.59
SingleAddr_NonInclusive_Data,inv_205,Found,10035,2.85
SingleAddr_NonInclusive_Data,inv_206,Found,463855,10.15
SingleAddr_NonInclusive_Data,inv_207,Found,463841,9.74
SingleAddr_NonInclusive_Data,inv_208,Found,1732575,29.42
SingleAddr_NonInclusive_Data,inv_209,Found,5171,2.67
SingleAddr_NonInclusive_Data,inv_210,Found,19998,3.61
SingleAddr_NonInclusive_Data,inv_211,Found,19991,2.69
SingleAddr_NonInclusive_Data,inv_212,Found,115933,5.20
SingleAddr_NonInclusive_Data,inv_213,Found,20473,2.66
SingleAddr_NonInclusive_Data,inv_214,Found,69800,5.01
SingleAddr_NonInclusive_Data,inv_215,Found,69793,3.69
SingleAddr_NonInclusive_Data,inv_216,Found,303890,6.86
SingleAddr_NonInclusive_Data,inv_217,Found,19891,2.69
SingleAddr_NonInclusive_Data,inv_218,Found,68126,5.47
SingleAddr_NonInclusive_Data,inv_219,Found,68119,3.57
SingleAddr_NonInclusive_Data,inv_220,Found,297357,6.85
SingleAddr_NonInclusive_Data,inv_221,Found,115367,3.95
SingleAddr_NonInclusive_Data,inv_222,Found,297207,8.97
SingleAddr_NonInclusive_Data,inv_223,Found,297200,7.25
SingleAddr_NonInclusive_Data,inv_224,Found,1120278,18.25
