state_no,H1,H2,H3,H4
0,2.42,3.36,2.42,2.51
1,2.53,3.44,2.51,2.45
2,2.49,3.48,2.44,2.46
3,2.45,3.43,2.48,2.46
4,2.47,3.46,2.58,2.48
5,2.46,3.54,2.57,2.48
6,2.62,5.22,2.55,2.49
7,2.44,3.25,2.48,2.48
8,2.57,3.44,2.45,2.50
9,2.44,3.28,2.42,2.45
10,2.48,3.43,2.50,2.48
11,2.50,3.55,2.55,2.51
12,2.77,4.95,2.62,2.50
13,2.44,3.38,2.44,2.51
14,2.43,3.48,2.47,2.47
15,2.43,3.45,2.54,2.49
16,2.49,3.49,2.52,2.45
17,2.49,3.68,2.61,2.51
18,2.49,3.34,2.51,2.44
19,2.42,3.49,2.50,2.52
20,2.48,3.46,2.45,2.46
21,2.43,3.74,2.58,2.49
22,2.43,3.55,2.60,2.48
23,2.47,3.88,2.69,2.47
24,4.08,3.70,2.71,2.48
25,2.51,6.51,2.60,2.49
26,2.43,3.99,2.61,2.51
27,2.49,4.42,2.56,2.47
28,28.42,4.90,2.51,2.49
29,2.45,6.96,2.46,2.48
30,2.49,3.97,2.75,2.48
31,2.44,4.73,2.61,2.47
32,23.18,4.32,2.53,2.48
33,2.53,10.22,2.54,2.55
34,2.46,5.13,2.56,2.48
35,4.05,7.33,2.53,2.45
36,38.61,7.63,2.48,2.49
37,2.45,15.49,2.49,2.47
38,2.50,3.29,2.43,2.45
39,2.57,3.47,2.51,2.44
40,2.44,3.48,2.50,2.47
41,2.47,3.41,2.45,2.49
42,2.54,3.56,2.56,2.49
43,2.52,3.51,2.59,2.47
44,2.61,7.62,2.67,2.45
45,2.41,3.46,2.48,2.51
46,2.53,3.39,2.54,2.52
47,2.46,3.40,2.44,2.47
48,2.50,3.66,2.61,2.49
49,2.43,3.42,2.61,2.50
50,2.88,7.42,2.66,2.54
51,2.40,3.30,2.41,2.44
52,2.44,3.32,2.53,2.46
53,2.50,3.57,2.63,2.48
54,2.42,3.74,2.50,2.41
55,3.04,3.93,2.58,2.47
56,2.41,3.30,2.47,2.42
57,2.43,3.43,2.47,2.41
58,2.46,3.49,2.56,2.44
59,2.45,3.64,2.58,2.42
60,2.46,3.79,2.59,2.44
61,3.01,4.15,2.56,2.43
62,2.44,4.01,2.57,2.44
63,3.81,6.23,2.48,2.44
64,2.46,4.28,2.54,2.45
65,2.50,4.87,2.50,2.47
66,2.42,4.83,2.51,2.45
67,2.45,8.90,2.47,2.46
68,2.42,4.36,2.59,2.56
69,2.44,6.42,2.52,2.48
70,2.58,5.11,2.53,2.49
71,2.44,9.77,2.62,2.53
72,2.41,5.90,2.56,2.45
73,2.42,9.08,2.62,2.46
