algorithm,protocol_model,inv_no,result,states,time
BFS,TL-C_In_S_nodata,inv_1,Found,1,2.75
BFS,TL-C_In_S_nodata,inv_2,Found,1197,2.75
BFS,TL-C_In_S_nodata,inv_3,Found,1133,3.28
BFS,TL-C_In_S_nodata,inv_4,Found,443,3.38
BFS,TL-C_In_S_nodata,inv_5,Found,1881,3.31
BFS,TL-C_In_S_nodata,inv_6,Found,1985,3.33
BFS,TL-C_In_S_nodata,inv_7,Found,34828,3.82
BFS,TL-C_In_S_nodata,inv_8,Found,1015,3.51
BFS,TL-C_In_S_nodata,inv_9,Found,861,3.28
BFS,TL-C_In_S_nodata,inv_10,Found,290,3.19
BFS,TL-C_In_S_nodata,inv_11,Found,1423,3.32
BFS,TL-C_In_S_nodata,inv_12,Found,1678,3.44
BFS,TL-C_In_S_nodata,inv_13,Found,27831,3.68
BFS,TL-C_In_S_nodata,inv_14,Found,42,3.33
BFS,TL-C_In_S_nodata,inv_15,Found,531,3.31
BFS,TL-C_In_S_nodata,inv_16,Found,1317,3.26
BFS,TL-C_In_S_nodata,inv_17,Found,1311,3.37
BFS,TL-C_In_S_nodata,inv_18,Found,6562,3.40
BFS,TL-C_In_S_nodata,inv_19,Found,502,3.31
BFS,TL-C_In_S_nodata,inv_20,Found,1287,3.38
BFS,TL-C_In_S_nodata,inv_21,Found,1248,3.38
BFS,TL-C_In_S_nodata,inv_22,Found,6231,2.87
BFS,TL-C_In_S_nodata,inv_23,Found,3617,3.37
BFS,TL-C_In_S_nodata,inv_24,Found,10483,3.47
BFS,TL-C_In_S_nodata,inv_25,Found,10477,3.40
BFS,TL-C_In_S_nodata,inv_26,Found,38692,3.56
BFS,TL-C_In_S_nodata,inv_27,Found,10748,3.47
BFS,TL-C_In_S_nodata,inv_28,Found,26162,3.65
BFS,TL-C_In_S_nodata,inv_29,Found,26156,5.62
BFS,TL-C_In_S_nodata,inv_30,Found,84744,3.69
BFS,TL-C_In_S_nodata,inv_31,Found,10409,3.42
BFS,TL-C_In_S_nodata,inv_32,Found,25452,4.77
BFS,TL-C_In_S_nodata,inv_33,Found,25446,3.04
BFS,TL-C_In_S_nodata,inv_34,Found,82839,4.63
BFS,TL-C_In_S_nodata,inv_35,Found,38402,4.03
BFS,TL-C_In_S_nodata,inv_36,Found,82766,4.67
BFS,TL-C_In_S_nodata,inv_37,Found,82760,4.87
BFS,TL-C_In_S_nodata,inv_38,Found,230360,7.30
BFS,TL-C_In_S_data,inv_1,Found,1,3.29
BFS,TL-C_In_S_data,inv_2,Found,1197,3.29
BFS,TL-C_In_S_data,inv_3,Found,1133,3.25
BFS,TL-C_In_S_data,inv_4,Found,443,3.17
BFS,TL-C_In_S_data,inv_5,Found,1887,3.40
BFS,TL-C_In_S_data,inv_6,Found,1993,3.27
BFS,TL-C_In_S_data,inv_7,Found,45325,5.51
BFS,TL-C_In_S_data,inv_8,Found,1015,2.72
BFS,TL-C_In_S_data,inv_9,Found,861,3.44
BFS,TL-C_In_S_data,inv_10,Found,290,2.96
BFS,TL-C_In_S_data,inv_11,Found,1425,3.55
BFS,TL-C_In_S_data,inv_12,Found,1682,3.40
BFS,TL-C_In_S_data,inv_13,Found,34844,3.84
BFS,TL-C_In_S_data,inv_14,Found,42,3.27
BFS,TL-C_In_S_data,inv_15,Found,531,3.26
BFS,TL-C_In_S_data,inv_16,Found,1317,3.23
BFS,TL-C_In_S_data,inv_17,Found,1311,3.23
BFS,TL-C_In_S_data,inv_18,Found,6946,3.38
BFS,TL-C_In_S_data,inv_19,Found,502,3.23
BFS,TL-C_In_S_data,inv_20,Found,1287,2.75
BFS,TL-C_In_S_data,inv_21,Found,1248,3.30
BFS,TL-C_In_S_data,inv_22,Found,6615,3.37
BFS,TL-C_In_S_data,inv_23,Found,3697,3.36
BFS,TL-C_In_S_data,inv_24,Found,11691,3.42
BFS,TL-C_In_S_data,inv_25,Found,11685,2.80
BFS,TL-C_In_S_data,inv_26,Found,49876,4.12
BFS,TL-C_In_S_data,inv_27,Found,11956,3.99
BFS,TL-C_In_S_data,inv_28,Found,32118,3.87
BFS,TL-C_In_S_data,inv_29,Found,32112,3.83
BFS,TL-C_In_S_data,inv_30,Found,118198,5.50
BFS,TL-C_In_S_data,inv_31,Found,11617,3.50
BFS,TL-C_In_S_data,inv_32,Found,31408,3.80
BFS,TL-C_In_S_data,inv_33,Found,31402,3.82
BFS,TL-C_In_S_data,inv_34,Found,116293,5.49
BFS,TL-C_In_S_data,inv_35,Found,49586,4.16
BFS,TL-C_In_S_data,inv_36,Found,116220,5.24
BFS,TL-C_In_S_data,inv_37,Found,116214,5.39
BFS,TL-C_In_S_data,inv_38,Found,360644,8.33
BFS,TL-C_NonIn_S_nodata,inv_1,Found,1,2.78
BFS,TL-C_NonIn_S_nodata,inv_2,Found,4652,2.83
BFS,TL-C_NonIn_S_nodata,inv_3,Found,4093,3.34
BFS,TL-C_NonIn_S_nodata,inv_4,Found,4614,3.38
BFS,TL-C_NonIn_S_nodata,inv_5,Found,27896,3.76
BFS,TL-C_NonIn_S_nodata,inv_6,Found,3809,3.67
BFS,TL-C_NonIn_S_nodata,inv_7,Found,4505,3.41
BFS,TL-C_NonIn_S_nodata,inv_8,Found,168558,6.17
BFS,TL-C_NonIn_S_nodata,inv_9,Found,168520,6.56
BFS,TL-C_NonIn_S_nodata,inv_10,Found,532442,13.54
BFS,TL-C_NonIn_S_nodata,inv_11,Found,3293,3.40
BFS,TL-C_NonIn_S_nodata,inv_12,Found,4311,2.84
BFS,TL-C_NonIn_S_nodata,inv_13,Found,161449,6.36
BFS,TL-C_NonIn_S_nodata,inv_14,Found,161411,5.93
BFS,TL-C_NonIn_S_nodata,inv_15,Found,506605,12.69
BFS,TL-C_NonIn_S_nodata,inv_16,Found,25898,3.09
BFS,TL-C_NonIn_S_nodata,inv_17,Found,515167,13.88
BFS,TL-C_NonIn_S_nodata,inv_18,Found,515129,13.03
BFS,TL-C_NonIn_S_nodata,inv_19,Found,1586895,31.51
BFS,TL-C_NonIn_S_nodata,inv_20,Found,2614,3.34
BFS,TL-C_NonIn_S_nodata,inv_21,Found,890,3.15
BFS,TL-C_NonIn_S_nodata,inv_22,Found,2581,3.08
BFS,TL-C_NonIn_S_nodata,inv_23,Found,2563,3.53
BFS,TL-C_NonIn_S_nodata,inv_24,Found,15775,3.56
BFS,TL-C_NonIn_S_nodata,inv_25,Found,45934,4.45
BFS,TL-C_NonIn_S_nodata,inv_26,Found,112732,5.23
BFS,TL-C_NonIn_S_nodata,inv_27,Found,112714,5.39
BFS,TL-C_NonIn_S_nodata,inv_28,Found,363853,11.02
BFS,TL-C_NonIn_S_nodata,inv_29,Found,44068,4.06
BFS,TL-C_NonIn_S_nodata,inv_30,Found,108101,5.32
BFS,TL-C_NonIn_S_nodata,inv_31,Found,108083,6.10
BFS,TL-C_NonIn_S_nodata,inv_32,Found,347002,12.22
BFS,TL-C_NonIn_S_nodata,inv_33,Found,163171,6.35
BFS,TL-C_NonIn_S_nodata,inv_34,Found,352111,10.10
BFS,TL-C_NonIn_S_nodata,inv_35,Found,352093,9.51
BFS,TL-C_NonIn_S_nodata,inv_36,Found,1096494,22.90
BFS,TL-C_NonIn_S_nodata,inv_37,Found,2290,2.92
BFS,TL-C_NonIn_S_nodata,inv_38,Found,2137,2.84
BFS,TL-C_NonIn_S_nodata,inv_39,Found,758,3.33
BFS,TL-C_NonIn_S_nodata,inv_40,Found,3840,3.44
BFS,TL-C_NonIn_S_nodata,inv_41,Found,4113,3.35
BFS,TL-C_NonIn_S_nodata,inv_42,Found,96291,4.76
BFS,TL-C_NonIn_S_nodata,inv_43,Found,843,3.28
BFS,TL-C_NonIn_S_nodata,inv_44,Found,44751,4.04
BFS,TL-C_NonIn_S_nodata,inv_45,Found,44713,3.30
BFS,TL-C_NonIn_S_nodata,inv_46,Found,164827,6.65
BFS,TL-C_NonIn_S_nodata,inv_47,Found,2505,3.33
BFS,TL-C_NonIn_S_nodata,inv_48,Found,113088,5.44
BFS,TL-C_NonIn_S_nodata,inv_49,Found,113050,7.66
BFS,TL-C_NonIn_S_nodata,inv_50,Found,365801,10.54
